prior_use_ratio_mean,prior_use_ratio_lo,prior_use_ratio_up
75.208,74.73747131014987,75.67852868985013
73.752,72.98362986701794,74.52037013298205
72.70700000000001,71.22374981920214,74.19025018079788
71.667,69.9170848380242,73.41691516197581
70.417,68.10901562374876,72.72498437625124
69.99900000000001,67.25941974872063,72.73858025127939
68.95700000000001,65.93900378043553,71.97499621956449
67.709,64.24992827365172,71.16807172634829
66.249,62.16441375502881,70.33358624497117
64.37499999999999,60.13289635252208,68.61710364747789
63.126,58.73649504951348,67.51550495048652
61.45799999999999,56.89252594427507,66.0234740557249
59.581999999999994,54.754820928969096,64.40917907103089
57.91799999999999,52.62343975286402,63.21256024713596
56.666999999999994,50.96898174111303,62.365018258886955
55.416,49.61296626354588,61.219033736454115
53.959,48.14527619007388,59.77272380992613
52.29,46.650985703819224,57.929014296180775
51.249,45.93575355169662,56.562246448303384
50.208000000000006,45.11951525677321,55.2964847432268
49.165,44.18866641721807,54.141333582781925
47.708,43.024069833036194,52.3919301669638
46.459,41.90236499136958,51.015635008630426
45.206999999999994,40.652497299615845,49.76150270038414
43.958,39.274221576388825,48.64177842361117
42.501000000000005,37.72510284120892,47.27689715879109
41.04,36.070991578560545,46.009008421439454
39.167,34.465479977156086,43.86852002284392
37.294000000000004,32.8249226558794,41.76307734412061
35.415,31.142590476053982,39.687409523946016
33.75,29.9150464194762,37.5849535805238
32.086,28.62949228659231,35.54250771340769
30.622999999999998,27.477666712040843,33.76833328795915
29.167,26.186346129816698,32.147653870183305
27.503000000000004,24.623250238216094,30.382749761783913
25.622000000000003,22.807467165048653,28.436532834951354
23.75,20.92230354657376,26.57769645342624
21.669999999999998,18.84230354657376,24.497696453426236
19.580000000000002,16.752303546573764,22.40769645342624
17.5,14.672303546573762,20.32769645342624
15.419999999999998,12.59230354657376,18.247696453426236
13.330000000000002,10.502303546573764,16.15769645342624
11.25,8.422303546573762,14.077696453426238
9.378,7.020832236423887,11.735167763576113
7.497,5.612623083436754,9.381376916563246
5.625,4.211151773286881,7.038848226713119
3.753,2.8096804631370067,4.696319536862994
1.8719999999999999,1.4014713101498737,2.342528689850126
0.0,0.0,0.0
