time_step,prior_use_ratio
0,0.0
100131,0.0
100364,0.0
100739,0.0
100847,0.0
101469,0.0
101536,0.0
101876,0.0
103105,0.0
103302,0.0
103503,0.0
104617,0.0
104687,0.0
104743,0.0
104816,0.0
105406,0.0
105851,0.0
106077,0.0
106117,0.0
106204,0.0
106379,0.0
106451,0.0
106492,0.0
106518,0.0
106595,0.0
106870,0.0
107113,0.0
107189,0.0
107330,0.0
107488,0.0
108030,0.0
108037,0.0
108042,0.0
108082,0.0
108107,0.0
108142,0.0
108190,0.0
108236,0.0
108328,0.0
108618,0.0
108657,0.0
108779,0.0
108831,0.0
108845,0.0
108948,0.0
109003,0.0
109018,0.0
109091,0.0
109178,0.0
0,0.0
96326,0.0
97130,0.0
97300,0.0
97315,0.0
97344,0.0
97355,0.0
98532,0.0
98733,0.0
99741,0.0
100564,0.0
100795,0.0
103112,0.0
103668,0.0
104459,0.0
104572,0.0
104617,0.0
104633,0.0
105345,0.0
105668,0.0
105835,0.0
105873,0.0
105889,0.0
105911,0.0
106423,0.0
106847,0.0
107050,0.0
107063,0.0
107270,0.0
107523,0.0
107536,0.0
107599,0.0
107601,0.0
107655,0.0
107673,0.0
107814,0.0
107900,0.0
108132,0.0
108263,0.0
108687,0.0
108724,0.0
108753,0.0
108876,0.0
108944,0.0
109031,0.0
109038,0.0
109059,0.0
109076,0.0
109102,0.0
0,0.0
99586,0.0
102269,0.0
102441,0.0
102523,0.0
102681,0.0
102765,0.0
102860,0.0
103073,0.0
103113,0.0
103786,0.0
103904,0.0
104431,0.0
105385,0.0
105702,0.0
106450,0.0
106495,0.0
106567,0.0
106574,0.0
107057,0.0
107116,0.0
107369,0.0
107459,0.0
107599,0.0
107604,0.0
108010,0.0
108028,0.0
108043,0.0
108132,0.0
108157,0.0
108188,0.0
108258,0.0
108311,0.0
108347,0.0
108368,0.0
108432,0.0
108623,0.0
108685,0.0
108762,0.0
108839,0.0
108859,0.0
108964,0.0
108995,0.0
109003,0.0
109034,0.0
109075,0.0
109092,0.0
109129,0.0
109182,0.0
0,0.0
103428,0.0
103429,0.0
104333,0.0
104414,0.0
104959,0.0
105059,0.0
105064,0.0
105279,0.0
105456,0.0
105666,0.0
105761,0.0
105790,0.0
105895,0.0
105986,0.0
106122,0.0
106135,0.0
106152,0.0
106215,0.0
106387,0.0
106434,0.0
106451,0.0
106486,0.0
106617,0.0
106694,0.0
106787,0.0
106856,0.0
106865,0.0
106872,0.0
106882,0.0
106899,0.0
107005,0.0
107714,0.0
107812,0.0
107817,0.0
107845,0.0
108611,0.0
108647,0.0
108713,0.0
108737,0.0
108746,0.0
108760,0.0
108845,0.0
108891,0.0
108952,0.0
109064,0.0
109078,0.0
109108,0.0
109133,0.0
0,0.0
100032,0.0
102132,0.0
102353,0.0
102786,0.0
102891,0.0
103106,0.0
103612,0.0
103877,0.0
104407,0.0
104453,0.0
104612,0.0
104685,0.0
104688,0.0
104756,0.0
104775,0.0
104831,0.0
104856,0.0
104869,0.0
104989,0.0
105029,0.0
105372,0.0
106398,0.0
106404,0.0
106438,0.0
106743,0.0
106755,0.0
106951,0.0
106956,0.0
106987,0.0
107088,0.0
107128,0.0
107485,0.0
107676,0.0
107821,0.0
107845,0.0
108027,0.0
108089,0.0
108482,0.0
108523,0.0
108679,0.0
108742,0.0
108754,0.0
108913,0.0
108918,0.0
108929,0.0
109016,0.0
109061,0.0
109094,0.0
0,0.0
102273,0.0
103070,0.0
103357,0.0
103436,0.0
103726,0.0
103794,0.0
103917,0.0
104012,0.0
104157,0.0
104179,0.0
104349,0.0
104503,0.0
104588,0.0
104653,0.0
105210,0.0
105290,0.0
105315,0.0
105335,0.0
105347,0.0
105361,0.0
105931,0.0
105933,0.0
106725,0.0
106758,0.0
106773,0.0
106796,0.0
107706,0.0
107853,0.0
107980,0.0
107993,0.0
108093,0.0
108098,0.0
108212,0.0
108526,0.0
108599,0.0
108636,0.0
108733,0.0
108742,0.0
108805,0.0
108848,0.0
108856,0.0
108903,0.0
108917,0.0
108936,0.0
108997,0.0
109068,0.0
109127,0.0
109165,0.0
0,0.0
96074,0.0
97408,0.0
98860,0.0
99736,0.0
101058,0.0
102610,0.0
102694,0.0
104249,0.0
104899,0.0
104919,0.0
105083,0.0
105272,0.0
105312,0.0
105654,0.0
105713,0.0
105904,0.0
105973,0.0
105986,0.0
106054,0.0
106088,0.0
106112,0.0
106165,0.0
106991,0.0
107199,0.0
107372,0.0
107641,0.0
107900,0.0
107905,0.0
107982,0.0
108015,0.0
108027,0.0
108107,0.0
108123,0.0
108131,0.0
108233,0.0
108237,0.0
108246,0.0
108263,0.0
108409,0.0
108471,0.0
108662,0.0
108831,0.0
108848,0.0
108942,0.0
108993,0.0
109028,0.0
109088,0.0
109148,0.0
0,0.0
96997,0.0
100116,0.0
100306,0.0
101702,0.0
101965,0.0
101977,0.0
102206,0.0
102264,0.0
102333,0.0
102471,0.0
102489,0.0
102550,0.0
102729,0.0
102842,0.0
102914,0.0
103132,0.0
103185,0.0
103359,0.0
103468,0.0
103819,0.0
103893,0.0
103910,0.0
