prior,ratio_lip_bound_use_mean,ratio_lip_bound_use_upper,ratio_lip_bound_use_lower,speed_up_mean,speed_up_upper,speed_up_lower
0.0,100.0,100.0,100.0,90.8470916166214,90.7650117533514,90.9291714798914
0.1,100.0,100.0,100.0,65.65442934837331,65.38722436851177,65.92163432823486
0.2,100.0,100.0,100.0,74.02249933127271,73.72464375786515,74.32035490468027
0.3,100.0,100.0,100.0,20.108096512177266,19.469181185181938,20.747011839172593
0.4,100.0,100.0,100.0,20.16414784804904,19.50138638528096,20.826909310817122
0.5,1.4077419354838705,1.400377968941684,1.415105902026057,-0.3372276656802391,-1.363723998105642,0.6892686667451637
0.6,1.4241935483870967,1.4156896422758738,1.4326974544983195,-1.5358283078084525,-2.553277418361276,-0.5183791972556291
0.7,1.4156451612903225,1.4053313120144661,1.4259590105661788,0.09091333108204865,-0.7881128965544746,0.969939558718572
0.8,0.4933870967741935,0.46301792195596636,0.5237562715924207,4.19923132641399,3.1444180596905094,5.254044593137471
0.9,0.08016129032258064,0.06293315275707119,0.09738942788809009,-0.6315864118457567,-1.8149611868729778,0.5517883631814645
1.0,0.05540322580645161,0.04121669413770322,0.06958975747519999,0.8497362295491219,-0.14662982162405647,1.8461022807223002
