instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
72,0,1.0,1.0,0.0,22000,21020,20893.5,20135.6,18616.2,13893.94,3.004643386225648e-165,1123.850803922268
72,1,0.8,1.0,0.0,22000,21548,21019.5,19453.0,16884.6,12901.36,1.0950210973850747e-297,1088.7975723493623
72,3,0.2,0.2031774375672908,0.7968225624327092,22000,21976,21090.0,19918.0,18828.3,12430.38,0.2207213155029228,1542.5542029663313
73,1,0.8,1.0,0.0,22000,19501,17939.5,16267.6,15070.9,12482.78,2.572207351507498e-139,1104.726766405347
72,2,0.5,0.8775652852007532,0.12243471479924682,22000,17412,16928.0,15651.6,15092.9,13303.98,9.492453326548013e-133,978.7562188335028
75,4,0.0,0.0,1.0,22000,21259,20567.0,20121.0,19878.7,16424.32,0.9426548069027243,2525.911925716282
73,0,1.0,1.0,0.0,22000,21283,20997.0,20632.0,19364.7,13986.88,1.302649865968685e-295,940.3489927084951
73,3,0.2,0.18829185370129353,0.8117081462987065,22000,19951,19314.0,18251.4,16310.7,11573.62,0.013656470248571355,1502.7453450847413
76,4,0.0,0.0,1.0,22000,20491,20488.0,20336.2,19366.0,9582.4,0.9908969068503123,2748.416225329473
73,2,0.5,0.8896666231006424,0.11033337689935764,22000,19777,18555.5,17053.2,16167.4,13419.6,0.0,1091.658494518957
74,0,1.0,1.0,0.0,22000,21624,21563.5,20975.2,20020.6,13892.6,4.1479406275160207e-144,1092.2066390113137
74,3,0.2,0.19283403157535323,0.8071659684246467,22000,21084,20704.5,19903.0,17772.4,11296.32,0.0684900211373682,1628.7615885946148
74,1,0.8,1.0,0.0,22000,21943,21844.5,20768.8,19012.2,14175.94,7.611707418037468e-102,1008.2875491629942
77,4,0.0,0.0,1.0,22000,21834,21755.5,20837.2,19091.6,11300.98,0.7952791881022072,2711.645581748944
74,2,0.5,0.8847364605481465,0.11526353945185351,22000,20337,18945.5,17624.6,16759.1,13167.86,6.149614211579403e-09,1115.5596748495718
75,0,1.0,1.0,0.0,22000,21306,18325.0,16496.8,15717.9,13539.46,6.88609278019904e-262,921.1153060464346
75,3,0.2,0.1987610726387066,0.8012389273612934,22000,21974,21485.5,19907.2,16999.2,10329.1,0.6952908001376591,1573.0803147662095
75,1,0.8,1.0,0.0,22000,20657,20211.5,18430.4,17159.5,13914.82,5.844290428059609e-10,1003.8076688762081
75,2,0.5,0.9015032730978794,0.09849672690212065,22000,21427,21256.0,20709.2,19341.0,13426.48,8.093591030365216e-98,1104.923340495259
78,4,0.0,0.0,1.0,22000,21565,21303.5,20777.8,19848.7,9375.9,1.0131962678419366,2591.398890209305
