instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
50,0,22000,20965,20206.0,18355.2,16658.8,13868.62,5.179078420342423e-54,1046.7621556574356
53,4,22000,20667,20546.0,20077.6,19209.7,14488.14,1.402510439641854e-103,984.0855048418663
50,1,22000,20470,18820.0,17174.4,16177.4,13951.54,4.989530965584079e-54,923.4372338966774
50,2,22000,21328,20178.5,18060.6,16557.8,13690.56,1.849934544110987e-13,981.3179980914982
51,3,22000,20700,20606.5,20407.8,19627.9,14724.46,1.9383486177503443e-161,1063.9600581229392
54,4,22000,21866,21662.5,20849.8,19015.4,14097.24,8.401058724271211e-98,1019.9095665122738
51,0,22000,21812,21553.5,20065.2,17520.9,13908.24,3.931582332491705e-223,939.1433021159219
51,2,22000,19491,19474.0,17433.6,15477.8,12554.98,1.4520139173618694e-130,1116.4407073232228
51,1,22000,21437,20903.5,20042.4,18133.1,12826.8,5.8562418959798425e-162,1168.3208393832683
52,0,22000,21690,21426.5,19855.6,17428.8,13530.16,2.8139028261410836e-16,986.23097794699
52,1,22000,21283,20947.5,19230.8,17276.2,13208.44,9.574703415572125e-165,1085.279871543318
52,3,22000,21954,21915.5,20546.2,18679.4,13418.44,3.3234052398570657e-156,1031.8030071784144
52,2,22000,21900,17984.0,15577.2,14615.3,12311.56,9.403589218687135e-208,1009.382153686783
53,0,22000,21679,20716.5,19545.0,17603.7,13798.94,4.337034846733098e-33,988.8169366379999
55,4,22000,21119,19936.5,18714.4,17643.0,14327.92,8.965138609786116e-211,992.5473107220084
56,4,22000,21558,20871.0,19385.0,18431.5,14270.48,1.4714296925477853e-136,1044.4772504217972
53,2,22000,21514,21195.0,19826.8,16829.6,12684.84,3.123169032287872e-238,1147.0361315748132
53,1,22000,21284,21179.5,20837.0,20103.2,14122.82,1.0519864355577233e-151,1097.161484028908
53,3,22000,20250,19760.5,18951.8,17457.8,13232.28,1.9453083304631318e-84,1061.2946767332094
54,0,22000,21790,21185.0,19167.6,17341.6,13973.8,1.5284840865867986e-58,915.8255279659021
54,1,22000,21514,21162.0,20090.6,17370.8,12924.76,7.785584921757112e-254,1160.9053071582643
57,4,22000,21833,20969.5,19085.6,16931.9,12982.8,1.119582038730978e-120,1071.500782220676
54,3,22000,21492,20183.5,18588.6,16749.3,13571.36,1.4471609566799943e-252,1001.8460245992769
54,2,22000,17764,17763.5,16549.0,15460.1,13114.4,3.93165272972467e-223,999.4689084103144
55,0,22000,21482,20888.0,19774.6,18572.1,13993.86,4.2086661473875174e-186,1046.268795890201
55,3,22000,20767,20266.5,19363.4,17413.1,14224.7,1.0992803407546126e-155,990.818972535402
55,1,22000,20987,20937.5,20192.6,19516.0,14294.18,3.8488028650940775e-142,1068.47464040805
55,2,22000,21503,20480.0,19373.6,17091.3,13017.82,3.220865324301426e-07,1112.6748821701472
58,4,22000,20976,19573.0,18445.2,17305.7,14051.9,1.3949328997373954e-215,1032.5007123573428
56,0,22000,20184,20062.5,18073.4,16196.7,13058.24,1.0318350019214793e-123,1002.213388496043
56,1,22000,21943,20629.0,19219.8,17039.8,13428.5,1.7281413434054118e-50,1019.6914759173516
59,4,22000,21855,21734.5,19666.6,16671.2,12625.86,1.2957225725608797e-186,1163.1632204154832
56,2,22000,21834,21679.5,19507.8,17297.8,13486.64,4.4905778690256716e-54,1011.0351841058476
56,3,22000,21746,21476.5,20901.2,19451.4,14824.56,6.420470291712615e-234,942.0424115185764
