instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
0,4,0.0,0.0,1.0,1200,227
0,3,0.2,0.10140845070422536,0.8985915492957747,1200,718
0,2,0.5,0.2934002869440459,0.706599713055954,1200,887
1,2,0.5,0.2934002869440459,0.706599713055954,1200,887
0,1,0.8,0.5146966854283928,0.48530331457160725,1200,1079
0,0,1.0,0.8170731707317073,0.18292682926829268,1200,1127
1,0,1.0,0.8182926829268292,0.18170731707317073,1200,1151
1,1,0.8,0.5084427767354597,0.4915572232645403,1200,1079
1,3,0.2,0.15023474178403756,0.8497652582159625,1200,719
1,4,0.0,0.0,1.0,1200,239
2,4,0.0,0.0,1.0,1200,239
2,3,0.2,0.15023474178403756,0.8497652582159625,1200,719
2,2,0.5,0.2934002869440459,0.706599713055954,1200,887
2,0,1.0,0.8341463414634146,0.16585365853658537,1200,1139
2,1,0.8,0.5090681676047529,0.490931832395247,1200,1103
3,2,0.5,0.30918220946915353,0.6908177905308465,1200,851
3,0,1.0,0.8154761904761905,0.18452380952380953,1200,1187
3,1,0.8,0.5653533458411507,0.4346466541588493,1200,1103
3,4,0.0,0.0,1.0,1200,227
3,3,0.2,0.15023474178403756,0.8497652582159625,1200,719
4,4,0.0,0.0,1.0,1200,191
4,3,0.2,0.15023474178403756,0.8497652582159625,1200,719
4,2,0.5,0.30918220946915353,0.6908177905308465,1200,887
4,1,0.8,0.5616010006253909,0.43839899937460913,1200,1079
4,0,1.0,0.8268292682926829,0.17317073170731706,1200,1199
5,0,1.0,0.8268292682926829,0.17317073170731706,1200,1151
5,1,0.8,0.5641025641025641,0.4358974358974359,1200,1055
5,2,0.5,0.3084648493543759,0.6915351506456241,1200,875
5,4,0.0,0.0,1.0,1200,239
5,3,0.2,0.15023474178403756,0.8497652582159625,1200,719
6,4,0.0,0.0,1.0,1200,167
6,3,0.2,0.15023474178403756,0.8497652582159625,1200,707
6,0,1.0,0.8035714285714286,0.19642857142857142,1200,1175
6,2,0.5,0.2934002869440459,0.706599713055954,1200,887
6,1,0.8,0.5084427767354597,0.4915572232645403,1200,1055
7,4,0.0,0.0,1.0,1200,239
7,2,0.5,0.2934002869440459,0.706599713055954,1200,875
7,0,1.0,0.8095238095238095,0.19047619047619047,1200,1187
7,3,0.2,0.10140845070422536,0.8985915492957747,1200,718
7,1,0.8,0.5609756097560976,0.43902439024390244,1200,1079
8,4,0.0,0.0,1.0,1200,215
8,2,0.5,0.30703012912482064,0.6929698708751794,1200,887
8,3,0.2,0.15023474178403756,0.8497652582159625,1200,719
8,1,0.8,0.5128205128205128,0.48717948717948717,1200,1079
8,0,1.0,0.8292682926829268,0.17073170731707318,1200,1163
9,2,0.5,0.2934002869440459,0.706599713055954,1200,863
9,0,1.0,0.8292682926829268,0.17073170731707318,1200,1151
9,4,0.0,0.0,1.0,1200,239
9,1,0.8,0.5078173858661663,0.49218261413383363,1200,1079
9,3,0.2,0.15023474178403756,0.8497652582159625,1200,719
