instance_number,run_number,n_time_steps,n_time_steps_cv
1,4,5500,2067
3,4,5500,3695
2,4,5500,2386
0,4,5500,2650
4,4,5500,3662
1,3,5500,2089
2,3,5500,2683
4,3,5500,4740
0,3,5500,4201
3,3,5500,2133
1,1,5500,3101
1,0,5500,3453
2,0,5500,5015
0,1,5500,2111
0,0,5500,2408
4,0,5500,2463
3,0,5500,2342
2,1,5500,2980
3,1,5500,2243
4,1,5500,2683
2,2,5500,3420
0,2,5500,3123
4,2,5500,4256
3,2,5500,2551
1,2,5500,3618
5,4,5500,2232
6,4,5500,1935
7,4,5500,3475
5,0,5500,2782
5,1,5500,2155
8,4,5500,2133
5,2,5500,2375
9,4,5500,2650
5,3,5500,3750
10,4,5500,2320
6,0,5500,3068
6,1,5500,2364
6,3,5500,4838
6,2,5500,2342
7,1,5500,4003
7,0,5500,2793
7,3,5500,1781
8,3,5500,5224
7,2,5500,2341
8,2,5500,3970
8,1,5500,2254
8,0,5500,3563
9,0,5500,2617
9,1,5500,2507
9,2,5500,2210
9,3,5500,1836
10,3,5500,2210
11,4,5500,2364
12,4,5500,2650
10,1,5500,4784
10,0,5500,2595
10,2,5500,3486
13,4,5500,3200
14,4,5500,2441
11,0,5500,2276
11,1,5500,4751
11,2,5500,3816
11,3,5500,2298
15,4,5500,2166
13,3,5500,3013
12,0,5500,3684
12,1,5500,5356
14,3,5500,2364
12,3,5500,2980
12,2,5500,2023
13,0,5500,3574
13,1,5500,2210
14,1,5500,2727
13,2,5500,2100
14,2,5500,4333
14,0,5500,4839
16,4,5500,2771
15,3,5500,2144
17,4,5500,2507
15,0,5500,2892
15,2,5500,2936
16,3,5500,2100
15,1,5500,4091
18,4,5500,2584
16,1,5500,3915
19,4,5500,2595
16,0,5500,2749
16,2,5500,3882
17,0,5500,1979
20,4,5500,3640
17,1,5500,3178
17,2,5500,2683
17,3,5500,3519
21,4,5500,2386
18,3,5500,1891
18,0,5500,2463
18,1,5500,2320
18,2,5500,3167
19,3,5500,1858
19,0,5500,3882
19,1,5500,2606
19,2,5500,2089
20,0,5500,1891
22,4,5500,2683
20,1,5500,1957
20,3,5500,2892
20,2,5500,5389
23,4,5500,2111
21,0,5500,2254
21,1,5500,2452
21,2,5500,3090
24,4,5500,2507
21,3,5500,3992
22,0,5500,2188
22,1,5500,3222
25,4,5500,2463
22,2,5500,2309
22,3,5500,2793
23,0,5500,2078
26,4,5500,2661
23,1,5500,2892
23,2,5500,4091
23,3,5500,3288
24,3,5500,1990
24,0,5500,2364
24,1,5500,2375
24,2,5500,2232
25,0,5500,3519
25,1,5500,4069
27,4,5500,3497
25,3,5500,2826
25,2,5500,2826
28,4,5500,2584
26,0,5500,2221
26,3,5500,1814
26,1,5500,2287
29,4,5500,1814
26,2,5500,2342
27,1,5500,5191
27,0,5500,2650
27,3,5500,4454
27,2,5500,2991
30,4,5500,2936
28,1,5500,2243
28,0,5500,2276
31,4,5500,2760
28,3,5500,3244
28,2,5500,3068
32,4,5500,2133
29,0,5500,2287
29,1,5500,1990
29,3,5500,3651
29,2,5500,2056
30,0,5500,2342
30,1,5500,2100
30,3,5500,4256
30,2,5500,4168
31,0,5500,2430
33,4,5500,1891
31,1,5500,1968
34,4,5500,2551
31,2,5500,3926
31,3,5500,2254
32,0,5500,2617
32,1,5500,4465
32,3,5500,2727
32,2,5500,2452
33,0,5500,2122
35,4,5500,1792
33,1,5500,2518
33,3,5500,2221
36,4,5500,2397
33,2,5500,2441
34,0,5500,2672
34,1,5500,2463
37,4,5500,4013
34,2,5500,4047
34,3,5500,2661
35,0,5500,3662
35,1,5500,2287
35,2,5500,1924
35,3,5500,1825
38,4,5500,3959
36,0,5500,3277
36,1,5500,2606
36,2,5500,2419
36,3,5500,2177
39,4,5500,2507
37,0,5500,2738
37,1,5500,2199
37,3,5500,2012
37,2,5500,2782
38,0,5500,3057
38,1,5500,4014
40,4,5500,2562
38,2,5500,2463
38,3,5500,3266
41,4,5500,2408
39,1,5500,3629
42,4,5500,3761
39,0,5500,4300
39,3,5500,2122
39,2,5500,2463
40,1,5500,2276
40,0,5500,2529
40,2,5500,2683
40,3,5500,2056
43,4,5500,3299
41,0,5500,2628
41,1,5500,1979
41,2,5500,3882
41,3,5500,2012
44,4,5500,5268
42,0,5500,2001
42,1,5500,1902
42,3,5500,2540
42,2,5500,2243
45,4,5500,2672
43,0,5500,3266
43,1,5500,2375
43,3,5500,4828
43,2,5500,2969
46,4,5500,3244
44,0,5500,2298
44,1,5500,2936
47,4,5500,2716
44,3,5500,2034
44,2,5500,2265
45,0,5500,2023
45,3,5500,5158
45,1,5500,2386
45,2,5500,2408
46,0,5500,4388
48,4,5500,3926
46,1,5500,5125
46,2,5500,2331
46,3,5500,3519
49,4,5500,2661
47,0,5500,4696
47,1,5500,3695
47,3,5500,2309
47,2,5500,2177
48,0,5500,5433
50,4,5500,2892
48,1,5500,3156
48,2,5500,3123
48,3,5500,2397
51,4,5500,2683
49,0,5500,2320
49,1,5500,3156
49,2,5500,4036
49,3,5500,4058
52,4,5500,2034
50,0,5500,2551
50,1,5500,2265
50,2,5500,2793
53,4,5500,3485
50,3,5500,3046
51,0,5500,2408
51,3,5500,2397
51,1,5500,2749
51,2,5500,2144
54,4,5500,5312
52,0,5500,2298
52,2,5500,2815
52,3,5500,2496
52,1,5500,1990
55,4,5500,3783
53,0,5500,4223
53,1,5500,1891
53,2,5500,4058
53,3,5500,2243
56,4,5500,4377
54,0,5500,1869
54,1,5500,2551
54,3,5500,2749
54,2,5500,4300
57,4,5500,2177
55,0,5500,2287
55,1,5500,3266
55,3,5500,2023
55,2,5500,2166
58,4,5500,3200
56,0,5500,3134
56,1,5500,2342
56,3,5500,2166
56,2,5500,2507
59,4,5500,2199
57,0,5500,3354
57,1,5500,4223
57,2,5500,3827
57,3,5500,3970
60,4,5500,2397
58,0,5500,2892
58,1,5500,2243
58,3,5500,1913
58,2,5500,2793
61,4,5500,2562
59,0,5500,3310
59,1,5500,2067
59,2,5500,3981
59,3,5500,2188
62,4,5500,4630
60,0,5500,2727
60,1,5500,3761
60,3,5500,2793
63,4,5500,3156
60,2,5500,2793
61,0,5500,2573
61,1,5500,4190
61,2,5500,2188
61,3,5500,5070
64,4,5500,2056
62,3,5500,2397
62,0,5500,5213
62,1,5500,2683
62,2,5500,2683
65,4,5500,2100
63,0,5500,2023
63,3,5500,2221
63,1,5500,2903
63,2,5500,2529
66,4,5500,3464
64,0,5500,3376
64,1,5500,3200
64,3,5500,3299
64,2,5500,2155
67,4,5500,2342
65,0,5500,2155
65,1,5500,2914
65,3,5500,5070
65,2,5500,3849
68,4,5500,2100
66,0,5500,2837
66,1,5500,1814
66,2,5500,2518
69,4,5500,4135
66,3,5500,3926
67,0,5500,4432
67,1,5500,1968
67,2,5500,2683
67,3,5500,2826
70,4,5500,2265
68,0,5500,4113
68,1,5500,2903
68,2,5500,4718
68,3,5500,2155
71,4,5500,2474
69,0,5500,2243
69,1,5500,3112
69,3,5500,2309
69,2,5500,2177
72,4,5500,3464
70,0,5500,2606
70,1,5500,3882
70,2,5500,3893
70,3,5500,3508
73,4,5500,3211
71,0,5500,3915
71,1,5500,2056
74,4,5500,2001
71,3,5500,2056
71,2,5500,4927
72,0,5500,2639
72,1,5500,1968
72,2,5500,2485
72,3,5500,2727
75,4,5500,3695
73,0,5500,2133
73,1,5500,2540
73,2,5500,2298
73,3,5500,2067
76,4,5500,4421
74,0,5500,5323
74,1,5500,2947
74,3,5500,2628
74,2,5500,2133
77,4,5500,3530
75,0,5500,2441
75,1,5500,3739
75,2,5500,1836
