instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
22,0,1.0,0.9957071586030862,0.004292841396913795,22000,18489,18137.0,17596.0,15876.7,12727.12,7.370526049525034e-303,1648.0
22,1,0.8,0.9632784476007232,0.03672155239927678,22000,18512,18511.5,17235.2,15947.0,12631.0,0.0,1652.0
22,3,0.2,0.1967570141764477,0.8032429858235522,22000,14288,14287.5,13361.0,11404.2,8088.38,0.34892109084295436,2534.0
25,4,0.0,0.0,1.0,22000,20591,20589.5,16369.2,11421.7,3151.22,3.0638194267389144e-07,3906.0
22,2,0.5,0.7327696396444195,0.2672303603555804,22000,19722,19716.0,18385.8,16150.6,12666.04,7.253582306259595e-153,1669.0
23,3,0.2,0.19674311367160505,0.803256886328395,22000,14474,14457.5,13092.4,11246.8,8037.2,0.013242818077729994,2525.0
23,0,1.0,0.9956684843562672,0.004331515643732838,22000,21526,21525.5,19697.0,17021.8,12961.96,1.469376164817966e-106,1658.0
26,4,0.0,0.0,1.0,22000,15000,13922.5,12113.4,9985.7,2779.64,9.932964015544059e-06,3900.0
23,1,0.8,0.9633809639137806,0.03661903608621942,22000,21184,19952.0,18346.0,16346.3,12842.26,3.093969255748443e-133,1658.0
23,2,0.5,0.7332105425996829,0.2667894574003171,22000,19127,19061.0,17281.4,15583.1,12497.68,7.143116791798929e-154,1675.0
24,3,0.2,0.1967465415306703,0.8032534584693297,22000,15904,15513.5,14051.6,12129.0,8257.36,0.26088214842014523,2527.0
24,0,1.0,0.9958041958041958,0.004195804195804196,22000,21294,20892.5,18434.0,15983.2,12657.0,1.001830691035471e-282,1633.0
24,1,0.8,0.9631821170282708,0.036817882971729124,22000,19655,19495.5,18200.8,16304.4,12783.68,3.897346585200775e-269,1660.0
27,4,0.0,0.0,1.0,22000,21488,20702.0,16531.6,11557.9,3498.04,3.1177106911284637e-06,3908.0
24,2,0.5,0.7333168967784353,0.26668310322156474,22000,21426,20227.0,18311.0,16141.8,12714.9,2.3129491935554093e-303,1691.0
25,0,1.0,0.9956491472328577,0.00435085276714236,22000,18368,18258.0,16944.6,15404.7,12698.8,3.291973366973487e-280,1626.0
