prior,ratio_lip_bound_use_mean,ratio_lip_bound_use_upper,ratio_lip_bound_use_lower,speed_up_mean,speed_up_upper,speed_up_lower
1.0,0.0,0.0,0.0,-17.14410732447259,-37.55458202005051,3.266367371105332
0.9,0.0,0.0,0.0,-14.681035626288807,-29.14334392794869,-0.21872732462892586
0.8,0.0,0.0,0.0,-10.52284258467955,-21.232628178474396,0.18694300911529638
0.7,0.0,0.0,0.0,7.1104232704599895,-8.191204839084005,22.412051380003984
0.6,0.0,0.0,0.0,-14.396675689671246,-41.74831205053316,12.954960671190664
0.4,0.0,0.0,0.0,-13.368218247145219,-27.79668430363808,1.0602478093476453
0.3,23.62769690890341,23.623629004097353,23.631764813709466,3.9059979443767103,-6.2080949850408045,14.020090873794224
0.2,59.23001949317738,59.21543147717381,59.24460750918095,40.69525747588361,25.208404269622193,56.18211068214502
0.1,97.01492537313433,97.01492537313433,97.01492537313433,91.31913091576956,90.25976699833372,92.37849483320541
0.0,100.0,100.0,100.0,91.40186916346616,90.38761582220175,92.41612250473057
