instance,task,episode,return,discounted_return
0,1,1,0.0,0.0
0,1,2,0.0,0.0
0,1,3,0.0,0.0
0,1,4,0.0,0.0
0,1,5,0.0,0.0
0,1,6,0.0,0.0
0,1,7,0.9177848988103804,0.6690651912327674
0,1,8,0.0,0.0
0,1,9,0.0,0.0
0,1,10,0.0,0.0
0,1,11,0.0,0.0
0,1,12,0.0,0.0
0,1,13,0.0,0.0
0,1,14,0.9737976946562406,0.7098985194043994
0,1,15,0.0,0.0
0,1,16,0.0,0.0
0,1,17,0.0,0.0
0,1,18,0.0,0.0
0,1,19,0.9737976946562406,0.7098985194043994
0,1,20,0.0,0.0
0,1,21,0.0,0.0
0,1,22,0.0,0.0
0,1,23,0.0,0.0
0,1,24,0.0,0.0
0,1,25,0.0,0.0
0,1,26,0.0,0.0
0,1,27,0.0,0.0
0,1,28,1.9107515489755529,1.320550610406137
0,1,29,0.9177848988103804,0.6021586721094906
0,1,30,0.0,0.0
0,1,31,0.0,0.0
0,1,32,0.0,0.0
0,1,33,0.0,0.0
0,1,34,0.0,0.0
0,1,35,1.947595389312481,1.3488071868683589
0,1,36,1.966764344821413,1.361383938577769
0,1,37,1.966764344821413,1.361383938577769
0,1,38,1.966764344821413,1.361383938577769
0,1,39,1.966764344821413,1.361383938577769
0,1,40,1.966764344821413,1.361383938577769
0,1,41,1.966764344821413,1.361383938577769
0,1,42,1.966764344821413,1.361383938577769
0,1,43,1.966764344821413,1.361383938577769
0,1,44,1.966764344821413,1.361383938577769
0,1,45,1.966764344821413,1.361383938577769
0,1,46,1.966764344821413,1.361383938577769
0,1,47,1.966764344821413,1.361383938577769
0,1,48,1.966764344821413,1.361383938577769
0,1,49,1.966764344821413,1.361383938577769
0,1,50,1.966764344821413,1.361383938577769
0,2,1,0.0,0.0
0,2,2,0.0,0.0
0,2,3,0.0,0.0
0,2,4,0.0,0.0
0,2,5,0.0,0.0
0,2,6,0.0,0.0
0,2,7,0.0,0.0
0,2,8,0.0,0.0
0,2,9,0.0,0.0
0,2,10,1.837578036022321,1.2726146688472586
0,2,11,0.0,0.0
0,2,12,0.0,0.0
0,2,13,0.0,0.0
0,2,14,0.0,0.0
0,2,15,0.0,0.0
0,2,16,0.0,0.0
0,2,17,0.0,0.0
0,2,18,0.0,0.0
0,2,19,0.0,0.0
0,2,20,0.9458585040284854,0.6895308494367659
0,2,21,1.868551884570593,1.2929366108797797
0,2,22,0.0,0.0
0,2,23,0.0,0.0
0,2,24,0.0,0.0
0,2,25,0.0,0.0
0,2,26,0.0,0.0
0,2,27,0.0,0.0
0,2,28,0.0,0.0
0,2,29,0.0,0.0
0,2,30,0.9187890180111605,0.6028174747171224
0,2,31,0.9458585040284854,0.6205777644930892
0,2,32,0.0,0.0
0,2,33,0.0,0.0
0,2,34,0.0,0.0
0,2,35,0.0,0.0
0,2,36,1.8917170080569707,1.310108613929855
0,2,37,1.895621370587918,1.3126702661864096
0,2,38,0.9458585040284854,0.6895308494367659
0,2,39,0.9187890180111605,0.6697971941301362
0,2,40,0.9187890180111605,0.6697971941301362
0,2,41,1.895621370587918,1.3126702661864096
0,2,42,1.895621370587918,1.3126702661864096
0,2,43,1.895621370587918,1.3126702661864096
0,2,44,1.895621370587918,1.3126702661864096
0,2,45,1.895621370587918,1.3126702661864096
0,2,46,1.895621370587918,1.3126702661864096
0,2,47,1.895621370587918,1.3126702661864096
0,2,48,1.895621370587918,1.3126702661864096
0,2,49,1.895621370587918,1.3126702661864096
0,2,50,1.895621370587918,1.3126702661864096
0,3,1,0.0,0.0
0,3,2,0.0,0.0
0,3,3,0.0,0.0
0,3,4,0.0,0.0
0,3,5,0.0,0.0
0,3,6,0.0,0.0
0,3,7,0.0,0.0
0,3,8,1.9107515489755529,1.320550610406137
0,3,9,0.0,0.0
0,3,10,0.0,0.0
0,3,11,0.0,0.0
0,3,12,1.966764344821413,1.361383938577769
0,3,13,0.0,0.0
0,3,14,0.0,0.0
0,3,15,0.0,0.0
0,3,16,0.0,0.0
0,3,17,0.0,0.0
0,3,18,0.0,0.0
0,3,19,1.947595389312481,1.3488071868683589
0,3,20,0.0,0.0
0,3,21,0.0,0.0
0,3,22,0.9177848988103804,0.6690651912327674
0,3,23,0.9737976946562406,0.6389086674639595
0,3,24,0.0,0.0
0,3,25,0.0,0.0
0,3,26,0.0,0.0
0,3,27,0.0,0.0
0,3,28,0.0,0.0
0,3,29,0.0,0.0
0,3,30,0.0,0.0
0,3,31,0.0,0.0
0,3,32,0.0,0.0
0,3,33,0.0,0.0
0,3,34,0.0,0.0
0,3,35,0.9737976946562406,0.7098985194043994
0,3,36,0.9737976946562406,0.7098985194043994
0,3,37,1.966764344821413,1.361383938577769
0,3,38,1.966764344821413,1.361383938577769
0,3,39,1.966764344821413,1.361383938577769
0,3,40,1.966764344821413,1.361383938577769
0,3,41,1.966764344821413,1.361383938577769
0,3,42,1.966764344821413,1.361383938577769
0,3,43,1.966764344821413,1.361383938577769
0,3,44,1.966764344821413,1.361383938577769
0,3,45,1.966764344821413,1.361383938577769
0,3,46,1.966764344821413,1.361383938577769
0,3,47,1.966764344821413,1.361383938577769
0,3,48,1.966764344821413,1.361383938577769
0,3,49,1.966764344821413,1.361383938577769
0,3,50,1.966764344821413,1.361383938577769
0,4,1,0.0,0.0
0,4,2,0.9656657724470056,0.7039703481138672
0,4,3,0.0,0.0
0,4,4,0.0,0.0
0,4,5,0.0,0.0
0,4,6,0.0,0.0
0,4,7,0.0,0.0
0,4,8,0.0,0.0
0,4,9,0.0,0.0
0,4,10,0.0,0.0
0,4,11,0.0,0.0
0,4,12,0.9192515751776302,0.6701343983044925
0,4,13,0.0,0.0
0,4,14,0.0,0.0
0,4,15,0.0,0.0
0,4,16,0.0,0.0
0,4,17,1.8768330890012872,1.298403629524194
0,4,18,0.0,0.0
0,4,19,0.0,0.0
0,4,20,0.0,0.0
0,4,21,0.0,0.0
0,4,22,0.0,0.0
0,4,23,0.0,0.0
0,4,24,0.0,0.0
0,4,25,1.9313315448940112,1.3375436614163476
0,4,26,0.0,0.0
0,4,27,0.0,0.0
0,4,28,0.0,0.0
0,4,29,0.0,0.0
0,4,30,0.0,0.0
0,4,31,0.0,0.0
0,4,32,0.0,0.0
0,4,33,1.9232472862706627,1.3322395793335686
0,4,34,0.9656657724470056,0.7039703481138672
0,4,35,1.9232472862706627,1.3322395793335686
0,4,36,1.9232472862706627,1.3322395793335686
0,4,37,1.9232472862706627,1.3322395793335686
0,4,38,1.9232472862706627,1.3322395793335686
0,4,39,1.9232472862706627,1.3322395793335686
0,4,40,1.9232472862706627,1.3322395793335686
0,4,41,1.9232472862706627,1.3322395793335686
0,4,42,1.9232472862706627,1.3322395793335686
0,4,43,1.9232472862706627,1.3322395793335686
0,4,44,1.9232472862706627,1.3322395793335686
0,4,45,1.9232472862706627,1.3322395793335686
0,4,46,1.9232472862706627,1.3322395793335686
0,4,47,1.9232472862706627,1.3322395793335686
0,4,48,1.9232472862706627,1.3322395793335686
0,4,49,1.9232472862706627,1.3322395793335686
0,4,50,1.9232472862706627,1.3322395793335686
0,5,1,0.0,0.0
0,5,2,0.0,0.0
