instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
29,0,5500,3584,3573.0,2860.6,2529.8,1815.12,1.0059512956011935e-82,113.0
29,1,5500,3134,3095.5,2953.6,2738.0,2141.56,7.288132799258953e-104,80.0
31,4,5500,2683,2677.5,2601.6,2446.4,1873.18,4.290820687140279e-63,69.0
29,2,5500,4905,4003.0,2876.6,2459.6,1820.4,1.3673282105634682e-62,170.0
32,4,5500,4641,3893.0,3050.4,2696.1,1879.58,4.0967010446301975e-68,135.0
29,3,5500,2727,2672.0,2597.2,2476.2,2054.46,1.0215078481895448e-81,45.0
30,0,5500,2485,2468.5,2414.6,2338.7,1842.76,4.0977549992004086e-66,138.0
30,1,5500,3915,3706.0,3530.0,3337.4,2446.28,4.894927130880672e-130,111.0
30,3,5500,2760,2441.0,2225.4,2109.9,1725.96,2.585843623345367e-96,60.0
30,2,5500,4773,4404.5,3943.6,3336.4,2135.64,1.4538912783810071e-58,69.0
33,4,5500,3156,2859.0,2524.6,2303.5,1707.52,3.7372937517104724e-72,54.0
31,0,5500,5367,4976.5,4579.4,4348.4,2523.7,1.7749013987385423e-45,54.0
31,1,5500,2485,2474.0,2403.6,2287.0,1843.68,1.1029750011020873e-76,53.0
31,3,5500,2859,2848.0,2744.6,2580.7,1997.06,3.973895149330056e-68,127.0
31,2,5500,2925,2881.0,2465.2,2222.1,1714.8,1.5487929046185203e-60,150.0
32,1,5500,4718,3766.5,3149.4,2799.6,2058.38,2.381956008435247e-102,71.0
32,0,5500,5136,4179.0,3248.4,2739.1,1918.8,3.205599867235052e-82,98.0
32,3,5500,3211,3117.5,2964.6,2674.2,2059.74,3.624339834370728e-74,124.0
32,2,5500,2826,2622.5,2416.8,2266.1,1799.3,4.0977549992004086e-66,109.0
34,4,5500,3926,3915.0,3882.0,3665.1,2688.06,0.0,0.0
33,0,5500,2914,2859.0,2746.8,2622.5,2181.14,6.77042584531954e-109,81.0
35,4,5500,2320,2287.0,2249.6,2202.3,1823.94,1.1373529383434079e-74,146.0
33,1,5500,4905,4426.5,3690.6,3051.5,1894.64,1.1909393113854519e-71,100.0
33,2,5500,3541,3535.5,3426.6,3258.1,2294.44,1.1373529383434079e-74,82.0
33,3,5500,2441,2386.0,2298.0,2234.1,1939.2,2.252290349712879e-105,53.0
36,4,5500,5455,3931.5,2966.8,2543.3,1783.86,1.2859189424989954e-66,83.0
34,0,5500,2122,2111.0,2067.0,2005.4,1687.76,6.594085153789836e-35,133.0
37,4,5500,3222,3178.0,3013.0,2794.1,2025.4,2.022858670861659e-112,91.0
34,3,5500,3277,2963.5,2755.6,2642.3,2131.48,3.6814811145951383e-73,135.0
34,1,5500,3948,3200.0,2630.2,2343.1,1753.08,3.071688058192915e-85,143.0
34,2,5500,3233,2793.0,2447.6,2278.2,1818.62,3.795090734699004e-71,137.0
35,0,5500,4619,4173.5,3596.0,3332.0,2323.08,1.102978206826249e-76,119.0
35,1,5500,4773,4558.5,3811.6,3102.1,2045.28,3.9133763113898584e-69,108.0
35,2,5500,3695,3458.5,2936.0,2631.3,1977.92,3.156781473296469e-83,66.0
35,3,5500,3750,3414.5,3068.0,2834.6,2202.26,5.238207115350674e-50,126.0
38,4,5500,3233,3222.0,3129.6,2878.8,2157.86,1.1728057885273947e-72,91.0
36,1,5500,4124,3744.5,3230.8,2842.5,1953.54,7.177141091979058e-105,46.0
36,0,5500,3145,2991.0,2760.0,2615.8,2067.18,6.348004214022437e-113,83.0
36,3,5500,3222,3194.5,3083.4,2974.5,2354.46,2.879093473855455e-89,67.0
36,2,5500,2661,2567.5,2410.2,2287.0,1903.36,1.2663355536249491e-67,109.0
37,0,5500,2507,2408.0,2300.2,2223.2,1841.26,3.3822265579521865e-101,131.0
37,2,5500,4234,4206.5,3653.2,3109.6,2108.12,4.035468981421117e-67,41.0
37,1,5500,3837,3397.5,3010.4,2822.4,1923.92,9.489379201737702e-87,36.0
39,4,5500,4927,4278.0,3767.6,3448.6,2499.9,1.2280589530046718e-69,108.0
37,3,5500,3123,2864.5,2575.2,2252.9,1680.2,1.4099455677411014e-60,140.0
38,0,5500,2650,2649.5,2533.2,2374.9,1934.6,8.559650274391301e-18,38.0
40,4,5500,3156,2908.5,2729.2,2594.9,2003.0,2.7506391107961283e-92,113.0
38,1,5500,2056,2039.5,2016.4,1947.1,1560.14,4.2254753965562876e-64,139.0
38,2,5500,5323,3975.5,2951.4,2559.6,1872.72,1.695039622971507e-48,63.0
38,3,5500,3706,3057.0,2606.0,2348.6,1722.24,4.851767067795489e-55,145.0
41,4,5500,3365,2980.0,2691.8,2482.8,1880.18,2.133790315429957e-33,72.0
39,0,5500,2947,2776.5,2661.0,2578.5,2068.74,3.156781756821217e-83,88.0
39,1,5500,4311,4008.5,3347.4,2972.2,1902.48,5.079875651639709e-52,143.0
39,2,5500,2595,2584.0,2500.4,2325.5,1860.88,3.3055132024840016e-80,123.0
39,3,5500,3035,3029.5,2856.8,2676.4,2194.4,6.365228302424913e-115,89.0
40,0,5500,4803,4253.0,3402.8,2914.1,2013.86,2.9697198664650703e-87,159.0
40,1,5500,3728,3271.5,2889.8,2603.8,1941.64,5.743431161629282e-44,41.0
40,3,5500,2826,2644.5,2476.2,2364.0,1817.28,2.4761531753240282e-101,108.0
40,2,5500,4080,4014.0,3503.6,3020.7,2348.1,1.1373529383434079e-74,120.0
41,0,5500,2518,2496.0,2364.0,2223.2,1735.0,3.680378139594036e-73,98.0
42,4,5500,5312,4399.0,3734.6,3416.6,2366.4,8.393035655595839e-95,104.0
43,4,5500,2276,2270.5,2249.2,2140.4,1720.24,0.0,0.0
41,1,5500,3750,3205.5,2698.4,2448.7,1912.56,6.20148049141148e-39,138.0
41,3,5500,3046,2919.5,2599.4,2383.8,1857.34,2.5704979721634556e-99,132.0
41,2,5500,5092,4542.0,4130.6,3898.5,2748.04,3.765697530699965e-91,103.0
42,0,5500,4817,4052.5,3028.4,2622.5,1942.46,1.1200320801691645e-75,58.0
