instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
88,4,0.0,0.0,1.0,5500,4953,4952.5,4749.2,4248.2,2245.14,0.010776595045629563,108.0
86,0,1.0,1.0,0.0,5500,4564,4426.5,3554.2,3084.5,2287.94,8.370078705294074e-95,96.0
86,1,0.8,0.9971987781423238,0.002801221857676208,5500,4201,3370.5,2839.2,2538.9,1837.58,8.962938115922217e-15,150.0
86,2,0.5,0.649416597593522,0.350583402406478,5500,2815,2798.5,2630.2,2441.9,1890.86,4.777425377094831e-56,110.0
86,3,0.2,0.11843992881528292,0.8815600711847171,5500,4718,4212.0,3771.6,3406.8,2174.34,0.0033813919135227306,163.0
89,4,0.0,0.0,1.0,5500,5396,5178.0,5045.4,4794.5,2973.88,0.468910148291166,253.0
87,0,1.0,1.0,0.0,5500,3013,2727.0,2471.8,2292.5,1732.76,1.3058051736484968e-65,135.0
87,1,0.8,0.9917730355005984,0.008226964499401676,5500,3541,3502.5,2986.6,2510.3,1754.14,4.0977549992007444e-66,154.0
87,2,0.5,0.6523467962784961,0.3476532037215038,5500,4058,3986.5,3497.0,3208.7,2204.26,1.7691830803967924e-63,95.0
87,3,0.2,0.11311325121048134,0.8868867487895187,5500,4960,4690.5,4379.2,4126.0,2850.84,1.346504997546795e-63,51.0
88,0,1.0,1.0,0.0,5500,3134,3035.0,2955.8,2868.9,2412.38,4.603488490265723e-134,50.0
90,4,0.0,0.0,1.0,5500,4893,4809.5,4650.2,4489.7,3094.14,0.004822926919596093,238.0
88,1,0.8,1.0,0.0,5500,4058,3986.5,3516.8,3246.2,2560.94,1.2093567230818678e-70,59.0
88,2,0.5,0.6489741221636696,0.3510258778363304,5500,3420,3018.5,2744.6,2581.8,1934.84,1.3673285633633081e-62,64.0
88,3,0.2,0.11337793832410983,0.8866220616758902,5500,3695,2969.0,2513.6,2316.6,1724.42,0.0,0.0
91,4,0.0,0.0,1.0,5500,5007,4883.0,4807.2,4176.4,2190.22,0.3830189600864887,243.0
89,0,1.0,1.0,0.0,5500,2628,2501.5,2388.2,2290.3,1872.68,3.1957724952128403e-100,122.0
89,1,0.8,0.9988663016188478,0.0011336983811521496,5500,3695,3260.5,2894.2,2654.4,1868.74,8.626410693780284e-95,93.0
89,2,0.5,0.6494648455800209,0.3505351544199791,5500,3090,2980.0,2812.8,2567.5,2055.72,1.1197440036672004e-77,137.0
89,3,0.2,0.11805838304802704,0.8819416169519729,5500,4651,4513.5,3614.6,3109.8,2114.04,0.01077526366430583,14.0
90,0,1.0,1.0,0.0,5500,3585,3073.5,2663.2,2386.0,1810.74,3.205901629337697e-82,129.0
92,4,0.0,0.0,1.0,5500,5453,5238.0,4720.8,4512.1,3244.5,0.45959636027270806,258.0
90,1,0.8,1.0,0.0,5500,3431,3392.5,3178.0,2894.2,2193.08,7.705521494848329e-101,102.0
90,3,0.2,0.11760807884715896,0.882391921152841,5500,5244,5074.5,4673.0,3799.6,1933.32,0.01077526366430583,186.0
90,2,0.5,0.6391078612591062,0.36089213874089376,5500,3222,3101.0,2832.6,2648.9,2116.5,1.0861776869212726e-77,43.0
93,4,0.0,0.0,1.0,5500,5496,5486.5,5479.6,5209.9,3374.4,0.4615119752611279,247.0
91,0,1.0,1.0,0.0,5500,2815,2798.5,2718.2,2621.1,1957.86,5.569828659391124e-46,131.0
91,1,0.8,0.9857739404454523,0.014226059554547648,5500,4894,3744.5,3015.2,2667.6,1901.36,1.3465049975467948e-63,50.0
91,2,0.5,0.6460650915819192,0.3539349084180809,5500,5037,3931.5,3186.8,2826.0,2056.68,7.475124000506587e-103,138.0
91,3,0.2,0.10723438982903201,0.892765610170968,5500,5431,5388.0,4933.0,4388.3,2590.64,0.0003329896365316149,118.0
92,0,1.0,1.0,0.0,5500,4333,4195.5,3347.4,2832.6,1892.46,3.795089541557698e-71,107.0
94,4,0.0,0.0,1.0,5500,5241,5240.5,4995.4,4516.7,3018.64,0.010926080694813795,246.0
92,1,0.8,1.0,0.0,5500,5235,5130.5,4370.4,3621.1,2578.3,6.062318932949237e-116,74.0
92,2,0.5,0.6382322807274324,0.3617677192725676,5500,2331,2325.5,2278.2,2202.3,1831.24,4.9263299575474734e-54,139.0
92,3,0.2,0.097904446438019,0.902095553561981,5500,4553,4338.0,3907.8,3641.5,2106.76,3.279185047850314e-05,139.0
95,4,0.0,0.0,1.0,5500,5427,5426.5,5368.6,5228.8,3796.7,0.3640040502633883,260.0
