instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
1,4,0.0,0.0,1.0,500,182
0,4,0.0,0.0,1.0,500,204
3,4,0.0,0.0,1.0,500,334
2,4,0.0,0.0,1.0,500,199
0,3,0.2,0.6702942979767014,0.3297057020232986,500,294
2,3,0.2,0.6352084301875097,0.36479156981249033,500,209
1,3,0.2,0.6770879857079053,0.3229120142920947,500,224
3,3,0.2,0.6704285496416044,0.32957145035839563,500,419
4,3,0.2,0.647324910310404,0.352675089689596,500,349
1,2,0.5,1.0,0.0,500,279
1,1,0.8,1.0,0.0,500,349
0,2,0.5,1.0,0.0,500,314
4,1,0.8,1.0,0.0,500,354
2,1,0.8,1.0,0.0,500,484
4,2,0.5,1.0,0.0,500,304
0,0,1.0,1.0,0.0,500,259
2,0,1.0,1.0,0.0,500,244
4,0,1.0,1.0,0.0,500,259
3,1,0.8,1.0,0.0,500,284
1,0,1.0,1.0,0.0,500,319
2,2,0.5,1.0,0.0,500,374
3,2,0.5,1.0,0.0,500,364
0,1,0.8,1.0,0.0,500,279
3,0,1.0,1.0,0.0,500,394
4,4,0.0,0.0,1.0,500,319
5,4,0.0,0.0,1.0,500,499
6,4,0.0,0.0,1.0,500,214
5,0,1.0,1.0,0.0,500,294
5,1,0.8,1.0,0.0,500,249
7,4,0.0,0.0,1.0,500,278
8,4,0.0,0.0,1.0,500,264
5,2,0.5,1.0,0.0,500,299
5,3,0.2,0.6603802051901025,0.3396197948098974,500,309
6,3,0.2,0.6635151890886547,0.3364848109113453,500,294
6,0,1.0,1.0,0.0,500,489
7,3,0.2,0.6675404780262143,0.33245952197378564,500,379
6,1,0.8,1.0,0.0,500,269
6,2,0.5,1.0,0.0,500,314
8,3,0.2,0.6944039638589332,0.30559603614106673,500,229
7,0,1.0,1.0,0.0,500,354
7,2,0.5,1.0,0.0,500,309
7,1,0.8,1.0,0.0,500,344
8,0,1.0,1.0,0.0,500,299
8,1,0.8,1.0,0.0,500,449
8,2,0.5,1.0,0.0,500,424
9,1,0.8,1.0,0.0,500,259
9,0,1.0,1.0,0.0,500,414
9,2,0.5,1.0,0.0,500,499
9,3,0.2,0.6641468682505399,0.33585313174946,500,319
9,4,0.0,0.0,1.0,500,449
