prior,ratio_lip_bound_use_mean,ratio_lip_bound_use_upper,ratio_lip_bound_use_lower,speed_up_mean,speed_up_upper,speed_up_lower
0.0,100.0,100.0,100.0,86.88235294117645,86.7157468155037,87.04895906684919
0.1,100.0,100.0,100.0,73.7767507002801,73.41173034679194,74.14177105376827
0.2,100.0,100.0,100.0,73.70126050420167,73.35007262666139,74.05244838174195
0.3,100.0,100.0,100.0,73.84817927170869,73.48784408986928,74.20851445354809
0.4,100.0,100.0,100.0,73.83081232492998,73.44668982972779,74.21493482013217
0.5,99.8306451612903,99.8306451612903,99.8306451612903,14.540931372549018,13.3376076101625,15.744255134935536
0.6,76.70862903225807,68.35060850848649,85.06664955602966,11.679306722689075,9.57355703862929,13.785056406748861
0.7,25.898064516129033,17.187548469284724,34.608580562973344,3.227170868347339,0.8316751458843399,5.622666590810338
0.8,21.916129032258063,13.689151145809076,30.143106918707048,1.0704831932773111,-1.6235276025673457,3.764493989121968
0.9,0.002258064516129032,0.0015009967576276454,0.0030151322746304185,0.17251400560224098,-1.9597256505931857,2.3047536617976676
1.0,0.002661290322580645,0.0015457955188752565,0.0037767851262860337,-0.9096288515406161,-2.8474887522852423,1.0282310492040103
