instance_number,run_number,n_time_steps,n_time_steps_cv
1,4,22000,13430
2,4,22000,13375
3,4,22000,13474
0,4,22000,13419
4,4,22000,13529
3,3,22000,13617
4,3,22000,13408
0,3,22000,13529
1,3,22000,13474
2,3,22000,13507
3,2,22000,13463
3,0,22000,13496
4,2,22000,13562
4,0,22000,13529
3,1,22000,13606
1,0,22000,13408
0,0,22000,13551
2,2,22000,13518
1,1,22000,13485
1,2,22000,13265
0,2,22000,13441
0,1,22000,13397
4,1,22000,13452
2,1,22000,13551
2,0,22000,13243
5,4,22000,13529
6,4,22000,13474
7,4,22000,19260
5,0,22000,13452
5,1,22000,13551
5,2,22000,13441
8,4,22000,13683
9,4,22000,13485
5,3,22000,13364
10,4,22000,13496
6,3,22000,18479
7,3,22000,13496
8,3,22000,13485
6,0,22000,20800
6,1,22000,13562
7,1,22000,13474
7,0,22000,13485
6,2,22000,13584
8,0,22000,13364
7,2,22000,13408
9,3,22000,17577
8,1,22000,13584
9,1,22000,13496
8,2,22000,13386
9,0,22000,13573
9,2,22000,13463
11,4,22000,13540
10,3,22000,13694
10,0,22000,13507
12,4,22000,13331
10,1,22000,13474
13,4,22000,13441
10,2,22000,13386
11,0,22000,18160
11,1,22000,13628
14,4,22000,13320
11,3,22000,13606
15,4,22000,15399
11,2,22000,13463
16,4,22000,13474
13,3,22000,13474
12,3,22000,13463
12,0,22000,19645
12,1,22000,13562
12,2,22000,14563
13,0,22000,21042
14,0,22000,13331
13,2,22000,17951
14,3,22000,13518
13,1,22000,13551
17,4,22000,13540
15,3,22000,13386
14,1,22000,13496
14,2,22000,13507
15,0,22000,13364
15,1,22000,13540
15,2,22000,13463
16,3,22000,13496
16,1,22000,13595
18,4,22000,13397
16,0,22000,13474
19,4,22000,13573
16,2,22000,13606
17,0,22000,20745
20,4,22000,13529
17,1,22000,13375
17,2,22000,13397
17,3,22000,13441
21,4,22000,13364
18,3,22000,13474
18,1,22000,13397
22,4,22000,13507
18,2,22000,13430
18,0,22000,13540
19,0,22000,13485
19,3,22000,17181
19,2,22000,13716
19,1,22000,13320
20,0,22000,13606
20,3,22000,13452
21,3,22000,13848
20,1,22000,13430
20,2,22000,13562
23,4,22000,13364
21,0,22000,13298
21,1,22000,13485
21,2,22000,13441
24,4,22000,13386
22,3,22000,13320
22,0,22000,13452
22,1,22000,13672
25,4,22000,13573
22,2,22000,13694
26,4,22000,13529
23,0,22000,13540
23,1,22000,13463
23,2,22000,13474
23,3,22000,13485
27,4,22000,13452
24,3,22000,13386
24,1,22000,17082
24,0,22000,13727
24,2,22000,13474
25,3,22000,13540
28,4,22000,13463
25,1,22000,13364
25,0,22000,13540
25,2,22000,13529
26,3,22000,13551
26,2,22000,21900
26,0,22000,13705
29,4,22000,13551
26,1,22000,13518
27,0,22000,13617
27,2,22000,13474
27,3,22000,13496
30,4,22000,13672
27,1,22000,13540
28,0,22000,13408
31,4,22000,13452
28,1,22000,13606
28,2,22000,13573
28,3,22000,15850
29,3,22000,13408
32,4,22000,13386
29,0,22000,13419
29,1,22000,16730
29,2,22000,20690
30,0,22000,13430
33,4,22000,19667
30,3,22000,13342
30,1,22000,13683
30,2,22000,13463
31,3,22000,13397
34,4,22000,18149
31,0,22000,13441
31,1,22000,13430
31,2,22000,18226
32,0,22000,13529
32,2,22000,13617
32,3,22000,13507
35,4,22000,13463
32,1,22000,13496
33,0,22000,13441
33,3,22000,13463
33,2,22000,13496
33,1,22000,13408
36,4,22000,13441
34,0,22000,13474
37,4,22000,13441
34,3,22000,13518
34,2,22000,13419
34,1,22000,13474
35,3,22000,14541
38,4,22000,13694
35,2,22000,13430
35,0,22000,13331
35,1,22000,13331
39,4,22000,13540
36,3,22000,13375
36,2,22000,13540
36,1,22000,13518
36,0,22000,13463
37,3,22000,13463
37,1,22000,13452
40,4,22000,13386
37,0,22000,19513
37,2,22000,13364
38,0,22000,13474
38,1,22000,13408
38,3,22000,21064
41,4,22000,13584
39,3,22000,13573
38,2,22000,13562
42,4,22000,13573
39,0,22000,13430
39,2,22000,13353
39,1,22000,13518
40,0,22000,13584
40,3,22000,13342
40,2,22000,17863
43,4,22000,13485
40,1,22000,13397
44,4,22000,13419
41,2,22000,13463
41,1,22000,13606
41,0,22000,13320
41,3,22000,13463
42,3,22000,13496
45,4,22000,13551
42,2,22000,13540
42,1,22000,13573
42,0,22000,19975
43,3,22000,13320
43,2,22000,21471
46,4,22000,13518
43,0,22000,18501
43,1,22000,13705
44,3,22000,13474
44,0,22000,13606
44,1,22000,13375
47,4,22000,13518
44,2,22000,13518
45,0,22000,13320
48,4,22000,16059
45,3,22000,13584
45,1,22000,13430
45,2,22000,13584
49,4,22000,13452
46,3,22000,13408
46,0,22000,14101
46,1,22000,20371
46,2,22000,13463
47,3,22000,13441
50,4,22000,13573
47,2,22000,13562
47,0,22000,17643
47,1,22000,17896
48,3,22000,13518
51,4,22000,13551
48,2,22000,13628
48,0,22000,13617
48,1,22000,13452
49,3,22000,18248
52,4,22000,13309
49,0,22000,13397
49,1,22000,13452
49,2,22000,13419
50,0,22000,13529
53,4,22000,13518
50,1,22000,18292
50,3,22000,13474
50,2,22000,13463
51,3,22000,13441
51,1,22000,13496
54,4,22000,15333
51,0,22000,13551
51,2,22000,13562
52,3,22000,13419
52,0,22000,13485
55,4,22000,18699
52,2,22000,13397
52,1,22000,13408
53,0,22000,13529
56,4,22000,13540
53,3,22000,13408
53,2,22000,13474
53,1,22000,14255
54,3,22000,18523
57,4,22000,13551
54,0,22000,13430
54,2,22000,13485
54,1,22000,13518
55,0,22000,13397
55,2,22000,13551
58,4,22000,13529
55,1,22000,13441
55,3,22000,14629
56,3,22000,13562
56,1,22000,13540
59,4,22000,13606
56,0,22000,13573
56,2,22000,13298
57,0,22000,13419
60,4,22000,13573
57,1,22000,13496
57,2,22000,20239
57,3,22000,13507
61,4,22000,13573
58,0,22000,13419
58,3,22000,13540
58,1,22000,13441
62,4,22000,13430
58,2,22000,13518
59,0,22000,13474
59,3,22000,16565
59,1,22000,13419
59,2,22000,13562
63,4,22000,13320
60,0,22000,13485
60,3,22000,13496
60,1,22000,13419
64,4,22000,13463
60,2,22000,13419
61,0,22000,13320
61,3,22000,13540
61,1,22000,13518
61,2,22000,13540
62,0,22000,21009
65,4,22000,13496
62,1,22000,13595
63,0,22000,13573
62,3,22000,13353
63,3,22000,13540
62,2,22000,21702
66,4,22000,13474
63,1,22000,18589
67,4,22000,13474
63,2,22000,13551
64,3,22000,13496
64,0,22000,16103
64,1,22000,13584
64,2,22000,13430
68,4,22000,13364
65,3,22000,13452
65,1,22000,13441
65,0,22000,13650
65,2,22000,13364
69,4,22000,13408
66,0,22000,13364
66,3,22000,13452
66,1,22000,17720
66,2,22000,13606
70,4,22000,13408
67,1,22000,13551
67,3,22000,13540
67,2,22000,18809
67,0,22000,13639
68,3,22000,13573
68,0,22000,13452
68,2,22000,20030
68,1,22000,13518
71,4,22000,20107
72,4,22000,13617
69,3,22000,14530
69,1,22000,13397
69,0,22000,13518
70,3,22000,13452
69,2,22000,13617
70,0,22000,18160
73,4,22000,13474
70,2,22000,13441
70,1,22000,13320
71,1,22000,13551
71,0,22000,13430
74,4,22000,13507
71,3,22000,13221
71,2,22000,13595
72,3,22000,19689
75,4,22000,15784
72,2,22000,13661
72,0,22000,13672
72,1,22000,13474
73,0,22000,13496
76,4,22000,20140
73,3,22000,13408
73,1,22000,13518
73,2,22000,13474
74,3,22000,13507
77,4,22000,13375
74,2,22000,13518
74,0,22000,13441
74,1,22000,13386
78,4,22000,13463
75,3,22000,13496
75,1,22000,13364
75,0,22000,13364
75,2,22000,13496
76,0,22000,13518
79,4,22000,13584
76,3,22000,21658
76,1,22000,13529
76,2,22000,13452
77,3,22000,13485
80,4,22000,13507
77,2,22000,13507
77,0,22000,13485
77,1,22000,20349
78,3,22000,13518
81,4,22000,13386
78,0,22000,18567
78,2,22000,18765
78,1,22000,13408
79,3,22000,13463
79,1,22000,13408
79,0,22000,21812
82,4,22000,13529
79,2,22000,13496
80,3,22000,13551
83,4,22000,13408
80,2,22000,13463
80,1,22000,13474
80,0,22000,13452
84,4,22000,13551
81,2,22000,13485
81,0,22000,13441
81,3,22000,13529
81,1,22000,13441
82,3,22000,13617
82,1,22000,13540
85,4,22000,13474
82,0,22000,13496
82,2,22000,13320
83,3,22000,13496
86,4,22000,13298
83,0,22000,13419
83,1,22000,19997
87,4,22000,13474
83,2,22000,13485
84,0,22000,13474
84,3,22000,13507
84,1,22000,13529
84,2,22000,13606
85,0,22000,13584
85,1,22000,13474
85,3,22000,13991
88,4,22000,13518
85,2,22000,13485
89,4,22000,13551
86,0,22000,13287
86,3,22000,13474
86,1,22000,13309
87,3,22000,13452
87,0,22000,13507
86,2,22000,13496
90,4,22000,20888
87,1,22000,13397
87,2,22000,18864
88,0,22000,13507
91,4,22000,13496
88,1,22000,13430
88,3,22000,14145
88,2,22000,13584
89,3,22000,20052
92,4,22000,13540
89,1,22000,20305
89,0,22000,13507
89,2,22000,13276
93,4,22000,13430
90,3,22000,13529
90,1,22000,21119
90,0,22000,13441
90,2,22000,13309
91,1,22000,13419
94,4,22000,13298
91,0,22000,13386
91,3,22000,13441
91,2,22000,13529
95,4,22000,13430
92,1,22000,13639
92,0,22000,13320
92,3,22000,13595
92,2,22000,13452
93,1,22000,13419
93,3,22000,13408
96,4,22000,13540
93,0,22000,13463
93,2,22000,13474
97,4,22000,13551
94,0,22000,13496
94,3,22000,13441
94,1,22000,13507
94,2,22000,16092
98,4,22000,13364
95,3,22000,15652
