episode_number,average_return,average_return_lo,average_return_up
0,0.1858945396803714,0.11373676772937699,0.25805231163136577
1,0.2105833125104995,0.13559173541487,0.285574889606129
2,0.2530326056436701,0.1738158622751898,0.33224934901215036
3,0.1525980039506076,0.08513539712595307,0.22006061077526212
4,0.25685474342381515,0.1763680816498112,0.3373414051978191
5,0.2010342477117905,0.12745127283565688,0.2746172225879241
6,0.27295104308599155,0.1914312541781194,0.3544708319938637
7,0.24675463252353683,0.16752180512052184,0.3259874599265518
8,0.19737103526548247,0.1229832526242729,0.27175881790669204
9,0.26053971661890984,0.18094981809941194,0.3401296151384078
10,0.17403688637140038,0.1020800682711855,0.24599370447161528
11,0.21488218346624,0.14043772467893778,0.2893266422535422
12,0.17865357130640852,0.10712788187168522,0.25017926074113184
13,0.19241689465299483,0.1199302262822372,0.26490356302375245
14,0.2099208625139203,0.13520217723481706,0.2846395477930236
15,0.2087511725445891,0.13448148369144086,0.28302086139773736
16,0.23593106416987536,0.1583024881559849,0.3135596401837658
17,0.22152577663571177,0.1446943044038832,0.29835724886754034
18,0.2392074919860108,0.1625412251027592,0.3158737588692624
19,0.17961500698920957,0.10767864568291015,0.251551368295509
20,0.2007665455394849,0.12727510188002888,0.2742579891989409
21,0.22781171294994593,0.15085944188252665,0.3047639840173652
22,0.19927826487412637,0.12413031307503473,0.274426216673218
23,0.22152577663571177,0.1446943044038832,0.29835724886754034
24,0.30192676042491184,0.2176494011339493,0.3862041197158744
25,0.22244952518152414,0.14532160700729635,0.2995774433557519
26,0.20336722402738058,0.12892292514466408,0.2778115229100971
27,0.15333554358992033,0.08551506819850403,0.22115601898133663
28,0.2452718746820542,0.16653635689795757,0.32400739246615085
29,0.2082752160857534,0.13416459410310788,0.2823858380683989
30,0.28634962718243573,0.20466349062101766,0.3680357637438538
31,0.2207444308675818,0.14421392214090895,0.29727493959425466
32,0.21019652788032686,0.1353320649598475,0.2850609908008062
33,0.19154481748517313,0.11942818075489742,0.26366145421544884
34,0.18997426069973977,0.11847442781582947,0.2614740935836501
35,0.14928950976628694,0.08331398757372126,0.2152650319588526
36,0.21695842065339677,0.14177716851627203,0.2921396727905215
37,0.19794964957095812,0.12555855454956213,0.27034074459235413
38,0.2667466000375633,0.18513217478604888,0.3483610252890777
39,0.2261440211417485,0.14982429866858477,0.30246374361491224
40,0.18227141805287064,0.11156438116265861,0.2529784549430827
