instance_number,run_number,n_time_steps,n_time_steps_cv
4,0,1100,1094
2,1,1100,1092
4,2,1100,1096
4,1,1100,1098
0,3,1100,1072
2,2,1100,1094
1,2,1100,1071
4,3,1100,1096
2,0,1100,1085
3,0,1100,1085
1,4,1100,1087
0,0,1100,1094
0,4,1100,1081
0,1,1100,1092
1,3,1100,1076
2,4,1100,1092
3,3,1100,1070
3,2,1100,1076
3,1,1100,1074
1,0,1100,1085
2,3,1100,1061
1,1,1100,1048
0,2,1100,1094
3,4,1100,1081
5,2,1100,1072
5,1,1100,1083
4,4,1100,1096
6,4,1100,1099
8,0,1100,1092
5,3,1100,1096
6,3,1100,1048
5,0,1100,1094
5,4,1100,1081
7,1,1100,1096
6,1,1100,1094
9,2,1100,1081
6,2,1100,1092
8,4,1100,1085
6,0,1100,1095
7,4,1100,1081
8,2,1100,1050
8,1,1100,1095
7,2,1100,1095
8,3,1100,1076
9,0,1100,1070
9,1,1100,1041
7,3,1100,1099
7,0,1100,1019
9,3,1100,1074
9,4,1100,1085
