time_step,prior_use_ratio
0,100.0
102888,97.92
103739,95.83
104612,93.75
104756,91.67
104774,89.58
104907,87.5
104931,85.42
104968,83.33
105025,81.25
105153,79.17
105299,77.08
105536,75.0
105574,72.92
106491,70.83
106951,68.75
106999,66.67
107069,64.58
107106,62.5
107191,60.42
107355,58.33
107357,56.25
107466,54.17
107649,52.08
107661,50.0
107853,47.92
107965,45.83
108045,43.75
108175,41.67
108250,39.58
108251,37.5
108340,35.42
108427,33.33
108519,31.25
108533,29.17
108570,27.08
108582,25.0
108583,22.92
108593,20.83
108653,18.75
108692,16.67
108712,14.58
108828,12.5
108832,10.42
108874,8.33
108949,6.25
109021,4.17
109059,2.08
109070,0.0
0,100.0
100048,97.92
101386,95.83
103036,93.75
103111,91.67
103476,89.58
104724,87.5
104730,85.42
104737,83.33
105044,81.25
105307,79.17
105448,77.08
105560,75.0
106013,72.92
106143,70.83
106161,68.75
106422,66.67
106434,64.58
106892,62.5
106963,60.42
107116,58.33
107155,56.25
107222,54.17
107439,52.08
107611,50.0
107621,47.92
107685,45.83
107712,43.75
107837,41.67
107919,39.58
107925,37.5
107969,35.42
107981,33.33
108080,31.25
108178,29.17
108198,27.08
108209,25.0
108272,22.92
108346,20.83
108551,18.75
108554,16.67
108600,14.58
108676,12.5
108800,10.42
108936,8.33
108951,6.25
108989,4.17
109023,2.08
109046,0.0
0,100.0
97942,97.92
99083,95.83
99452,93.75
102284,91.67
102368,89.58
102374,87.5
104575,85.42
104691,83.33
104973,81.25
105019,79.17
106019,77.08
106376,75.0
106412,72.92
106460,70.83
106569,68.75
106758,66.67
107132,64.58
107213,62.5
107386,60.42
107392,58.33
107464,56.25
107509,54.17
107628,52.08
107795,50.0
107916,47.92
107919,45.83
107957,43.75
108129,41.67
108159,39.58
108164,37.5
108242,35.42
108279,33.33
108318,31.25
108339,29.17
108537,27.08
108647,25.0
108673,22.92
108683,20.83
108777,18.75
108798,16.67
108883,14.58
108923,12.5
109002,10.42
109022,8.33
109105,6.25
109119,4.17
109140,2.08
109162,0.0
