prior_use_ratio_mean,prior_use_ratio_lo,prior_use_ratio_up
100.0,100.0,100.0
97.92,97.92,97.92
95.83,95.83,95.83
93.75,93.75,93.75
91.67,91.67,91.67
89.58,89.58,89.58
87.5,87.5,87.5
85.42,85.42,85.42
83.33,83.33,83.33
81.25,81.25,81.25
79.17,79.17,79.17
77.08,77.08,77.08
75.0,75.0,75.0
72.92,72.92,72.92
70.83,70.83,70.83
68.75,68.75,68.75
66.67,66.67,66.67
64.58,64.58,64.58
62.5,62.5,62.5
60.419999999999995,60.41999999999997,60.420000000000016
58.330000000000005,58.329999999999984,58.33000000000003
56.25,56.25,56.25
54.169999999999995,54.16999999999997,54.170000000000016
52.080000000000005,52.079999999999984,52.08000000000003
50.0,50.0,50.0
47.919999999999995,47.91999999999997,47.920000000000016
45.830000000000005,45.829999999999984,45.83000000000003
43.75,43.75,43.75
41.67,41.67,41.67
39.58,39.58,39.58
37.5,37.5,37.5
35.42,35.42,35.42
33.33,33.33,33.33
31.25,31.25,31.25
29.17,29.17,29.17
27.08,27.08,27.08
25.0,25.0,25.0
22.92,22.92,22.92
20.83,20.83,20.83
18.75,18.75,18.75
16.67,16.67,16.67
14.58,14.58,14.58
12.5,12.5,12.5
10.42,10.42,10.42
8.33,8.33,8.33
6.25,6.25,6.25
4.17,4.17,4.17
2.08,2.08,2.08
0.0,0.0,0.0
