time_step,prior_use_ratio
0,100.0
96572,97.92
99535,95.83
100739,93.75
101671,91.67
102270,89.58
103062,87.5
103432,85.42
103505,83.33
103738,81.25
103961,79.17
103978,77.08
104000,75.0
104136,72.92
104215,70.83
104975,68.75
105599,66.67
105639,64.58
105647,62.5
105724,60.42
105912,58.33
105966,56.25
106021,54.17
106313,52.08
106447,50.0
106668,47.92
107006,45.83
107065,43.75
107204,41.67
107312,39.58
107717,37.5
107734,35.42
107922,33.33
107960,31.25
107980,29.17
107989,27.08
108028,25.0
108029,22.92
108061,20.83
108099,18.75
108516,16.67
108585,14.58
108835,12.5
108858,10.42
108993,8.33
109025,6.25
109055,4.17
109136,2.08
109157,0.0
0,100.0
100880,97.92
100988,95.83
101347,93.75
101980,91.67
103321,89.58
103393,87.5
103478,85.42
103481,83.33
103501,81.25
103545,79.17
103594,77.08
103600,75.0
103948,72.92
104069,70.83
104156,68.75
104323,66.67
104375,64.58
104483,62.5
104558,60.42
104591,58.33
104683,56.25
104728,54.17
104974,52.08
105462,50.0
105697,47.92
105998,45.83
106152,43.75
106170,41.67
106325,39.58
106326,37.5
106472,35.42
106475,33.33
106939,31.25
107405,29.17
108170,27.08
108363,25.0
108465,22.92
108488,20.83
108823,18.75
108874,16.67
108940,14.58
108952,12.5
108977,10.42
108983,8.33
109043,6.25
109089,4.17
109093,2.08
109127,0.0
0,100.0
96765,97.92
99559,95.83
100692,93.75
101064,91.67
101615,89.58
101757,87.5
101783,85.42
102081,83.33
102102,81.25
102152,79.17
102415,77.08
103479,75.0
103540,72.92
103726,70.83
104109,68.75
104134,66.67
104311,64.58
104538,62.5
104650,60.42
104712,58.33
104788,56.25
104892,54.17
104902,52.08
105052,50.0
105148,47.92
105522,45.83
105715,43.75
105717,41.67
105738,39.58
105758,37.5
105837,35.42
105868,33.33
106340,31.25
107657,29.17
107936,27.08
108026,25.0
108288,22.92
108460,20.83
108493,18.75
108706,16.67
108708,14.58
108838,12.5
108890,10.42
108903,8.33
108969,6.25
109057,4.17
109062,2.08
109126,0.0
