prior_use_ratio_mean,prior_use_ratio_lo,prior_use_ratio_up
43.75,43.75,43.75
43.05666666666667,40.073494107261524,46.03983922607182
42.36,36.379312705423324,48.340687294576675
42.36,36.379312705423324,48.340687294576675
42.36,36.379312705423324,48.340687294576675
42.36,36.379312705423324,48.340687294576675
42.36,36.379312705423324,48.340687294576675
42.36,36.379312705423324,48.340687294576675
41.666666666666664,32.70280681268484,50.63052652064849
41.666666666666664,32.70280681268484,50.63052652064849
41.666666666666664,32.70280681268484,50.63052652064849
41.666666666666664,32.70280681268484,50.63052652064849
41.666666666666664,32.70280681268484,50.63052652064849
41.666666666666664,32.70280681268484,50.63052652064849
40.973333333333336,29.026300919946365,52.92036574672031
40.973333333333336,29.026300919946365,52.92036574672031
40.276666666666664,25.332119518108165,55.22121381522516
40.276666666666664,25.332119518108165,55.22121381522516
40.276666666666664,25.332119518108165,55.22121381522516
39.583333333333336,25.884550722153627,53.282115944513045
38.193333333333335,22.383473467899076,54.00319319876759
37.5,18.845978229043993,56.15402177095601
36.11,15.189887687246586,57.03011231275342
34.723333333333336,11.386365617941838,58.06030104872484
34.03,7.985465719982912,60.07453428001709
32.63666666666666,4.12939959588978,61.14393373744355
31.94333333333333,0.7486427546288823,63.13802391203778
31.25,-2.6815752919901996,65.1815752919902
29.86,-4.605806095794954,64.32580609579495
28.47,-6.752786502237491,63.69278650223749
27.776666666666667,-5.494055977550776,61.047389310884114
27.083333333333332,-4.397389634747611,58.564056301414276
26.386666666666667,-3.488085454683951,56.26141878801728
25.0,-1.8915795619454663,51.89157956194546
23.613333333333333,-0.29507366920698175,47.521740335873645
22.22,1.309107732631201,43.13089226736879
20.833333333333332,2.9056136253696856,38.761053041296975
19.44666666666667,4.502119518108172,34.391213815225164
18.05333333333333,6.106300919946358,30.000365746720306
16.666666666666668,7.702806812684845,25.63052652064849
14.586666666666668,5.622806812684843,23.550526520648493
12.496666666666668,3.5328068126848446,21.460526520648493
10.416666666666666,1.4528068126848428,19.380526520648488
8.336666666666666,-0.6271931873151573,17.30052652064849
6.246666666666667,-2.7171931873151562,15.21052652064849
4.166666666666667,-4.797193187315156,13.130526520648491
2.78,-3.2006872945766722,8.760687294576671
1.3866666666666667,-1.596505892738484,4.369839226071818
0.0,0.0,0.0
