time_step,prior_use_ratio
0,75.0
102104,72.92
102551,70.83
102726,70.83
103233,68.75
103421,68.75
103446,68.75
104140,66.67
104786,64.58
105584,62.5
105674,60.42
105690,58.33
105782,56.25
105783,54.17
105872,52.08
105881,50.0
106087,47.92
106215,45.83
107116,45.83
107168,45.83
107432,45.83
107438,45.83
107739,45.83
107763,45.83
107816,45.83
107834,45.83
107849,45.83
107899,43.75
107971,41.67
108054,39.58
108083,37.5
108179,35.42
108183,33.33
108209,31.25
108306,29.17
108356,27.08
108410,25.0
108567,22.92
108594,20.83
108653,18.75
108684,16.67
108801,14.58
108847,12.5
108861,10.42
108862,8.33
108971,6.25
108985,4.17
109087,2.08
109104,0.0
0,75.0
101605,72.92
102170,70.83
102444,70.83
102770,70.83
102771,70.83
102802,70.83
102862,68.75
104595,66.67
104665,64.58
104704,62.5
104771,60.42
105703,58.33
105801,56.25
106366,54.17
106646,52.08
106712,50.0
106998,47.92
107025,45.83
107115,43.75
107497,41.67
107531,39.58
107590,37.5
107602,35.42
107723,33.33
107757,31.25
107930,29.17
108144,29.17
108296,29.17
108335,29.17
108339,29.17
108391,29.17
108467,29.17
108468,29.17
108472,29.17
108501,27.08
108520,25.0
108558,22.92
108686,20.83
108707,18.75
108745,16.67
108764,14.58
108848,12.5
108863,10.42
108876,8.33
108898,6.25
108923,4.17
109030,2.08
109050,0.0
0,75.0
96354,72.92
96875,70.83
98539,68.75
99059,66.67
100323,64.58
100468,62.5
100572,60.42
100688,58.33
100907,56.25
101554,56.25
101692,54.17
101748,52.08
102288,50.0
102335,47.92
102958,45.83
103058,43.75
103127,41.67
104144,41.67
104157,41.67
104240,41.67
104272,41.67
104388,41.67
104422,41.67
104804,41.67
104886,41.67
105074,41.67
105396,39.58
105870,37.5
106348,35.42
107389,33.33
107771,31.25
108128,31.25
108142,31.25
108236,29.17
108318,27.08
108390,25.0
108400,22.92
108601,20.83
108638,18.75
108708,16.67
108732,14.58
108816,12.5
108831,10.42
108869,8.33
108999,6.25
109015,4.17
109047,2.08
109089,0.0
0,75.0
97381,75.0
98809,75.0
100906,72.92
101063,72.92
101216,72.92
102343,70.83
102400,70.83
102401,70.83
102555,70.83
102565,70.83
102604,70.83
102689,70.83
102697,70.83
102744,70.83
103339,68.75
103406,66.67
104302,64.58
104426,62.5
104445,60.42
104618,58.33
104714,56.25
104728,54.17
105122,52.08
105255,50.0
105331,47.92
105460,45.83
105464,43.75
105539,41.67
105584,39.58
105632,37.5
106135,35.42
106659,33.33
107438,31.25
107461,29.17
107566,27.08
107702,25.0
107932,22.92
107998,20.83
108031,18.75
108514,16.67
108595,14.58
108777,12.5
109014,10.42
109015,8.33
109021,6.25
109108,4.17
109151,2.08
109201,0.0
0,75.0
101645,72.92
101840,72.92
103216,72.92
104047,70.83
104062,70.83
104356,68.75
104656,66.67
104691,64.58
104941,62.5
105272,60.42
105701,58.33
105888,56.25
105960,54.17
106006,54.17
106371,54.17
106535,52.08
106735,50.0
107166,47.92
107255,45.83
107309,43.75
107377,41.67
107380,39.58
107463,37.5
107543,35.42
107792,33.33
107848,31.25
108016,29.17
108091,27.08
108259,25.0
108324,25.0
108352,25.0
108381,25.0
108416,25.0
108455,25.0
108481,25.0
108507,25.0
108532,22.92
108567,20.83
108673,18.75
108775,16.67
108800,14.58
108869,12.5
108888,10.42
108908,8.33
108939,6.25
108946,4.17
108971,2.08
109008,0.0
0,77.08
101022,75.0
102423,75.0
103485,72.92
103565,70.83
103807,70.83
103826,68.75
104418,66.67
105791,64.58
106545,62.5
106577,60.42
106593,58.33
106606,56.25
106745,54.17
106872,52.08
107121,52.08
107129,52.08
107141,52.08
107223,52.08
107228,52.08
107233,52.08
107303,50.0
107345,50.0
107468,50.0
107470,50.0
107569,47.92
107657,45.83
107810,43.75
107916,41.67
107956,39.58
108148,37.5
108206,35.42
108459,33.33
108486,31.25
108626,29.17
108650,27.08
108711,25.0
108731,22.92
108753,20.83
108766,18.75
108769,16.67
108837,14.58
108860,12.5
108876,10.42
108884,8.33
108913,6.25
108939,4.17
108946,2.08
109011,0.0
0,75.0
96965,72.92
100025,70.83
100140,68.75
100419,66.67
100497,66.67
102401,64.58
102949,62.5
103026,60.42
103101,58.33
103106,56.25
103766,54.17
103769,52.08
103777,50.0
103924,47.92
103989,45.83
104290,45.83
104337,45.83
104374,45.83
104484,45.83
104510,45.83
104519,45.83
104596,45.83
104645,45.83
104646,45.83
104728,45.83
104744,45.83
105023,43.75
105400,41.67
106374,39.58
106461,37.5
107016,35.42
108048,33.33
108067,31.25
108120,29.17
108215,27.08
108365,25.0
108486,22.92
108567,20.83
108677,18.75
108729,16.67
108734,14.58
108735,12.5
108820,10.42
108932,8.33
108961,6.25
108979,4.17
109051,2.08
109101,0.0
0,75.0
92962,75.0
93101,75.0
93213,75.0
93647,75.0
94666,75.0
94757,75.0
95874,75.0
96066,75.0
98822,72.92
98859,72.92
100998,70.83
101007,68.75
103048,66.67
103464,64.58
104538,62.5
104657,60.42
105176,58.33
105227,58.33
105252,58.33
105298,58.33
105543,56.25
105866,54.17
106048,52.08
106152,50.0
106309,47.92
107169,45.83
107191,43.75
107225,41.67
107342,39.58
107628,37.5
108034,35.42
108237,33.33
108313,31.25
108466,29.17
108501,27.08
108521,25.0
108649,22.92
108652,20.83
108684,18.75
108727,16.67
108735,14.58
108762,12.5
108787,10.42
108889,8.33
108914,6.25
109030,4.17
109132,2.08
109143,0.0
0,75.0
104475,72.92
104824,70.83
105201,68.75
105279,66.67
105357,64.58
105498,64.58
105823,64.58
106172,62.5
106173,60.42
106208,60.42
106247,60.42
106491,58.33
106523,56.25
106570,56.25
106606,56.25
107162,54.17
107225,52.08
107263,50.0
107301,47.92
107366,45.83
107518,43.75
107545,41.67
107596,39.58
107859,37.5
107888,35.42
107922,33.33
108008,31.25
108105,29.17
108204,27.08
108224,25.0
108293,22.92
108297,20.83
108400,18.75
108430,16.67
108513,14.58
108551,12.5
108563,10.42
108623,8.33
108630,6.25
108639,4.17
108680,2.08
108701,0.0
108731,0.0
108804,0.0
108863,0.0
108898,0.0
108925,0.0
108931,0.0
0,75.0
99512,75.0
99513,75.0
99594,75.0
99665,75.0
100742,75.0
100929,75.0
101677,75.0
103112,75.0
103734,72.92
103906,70.83
103953,68.75
104016,66.67
104084,66.67
104106,66.67
104193,66.67
104231,66.67
104905,64.58
105257,62.5
105717,60.42
105813,58.33
105876,56.25
105955,54.17
106215,52.08
106244,50.0
106334,47.92
106645,45.83
106669,43.75
107371,41.67
107634,39.58
107677,37.5
107680,35.42
107961,33.33
108003,31.25
108078,29.17
108102,27.08
108281,25.0
108593,22.92
108673,20.83
108728,18.75
108773,16.67
108835,14.58
108911,12.5
108922,10.42
108947,8.33
108964,6.25
109008,4.17
109060,2.08
109087,0.0
