prior_use_ratio_mean,prior_use_ratio_lo,prior_use_ratio_up
100.0,100.0,100.0
96.88,96.88,96.88
93.75,93.75,93.75
90.62,90.62,90.62
87.5,87.5,87.5
84.38,84.38,84.38
81.25,81.25,81.25
78.12,78.12,78.12
75.0,75.0,75.0
71.88,71.88,71.88
68.75,68.75,68.75
65.62,65.62,65.62
62.5,62.5,62.5
59.38000000000001,59.38,59.38000000000002
56.25,56.25,56.25
53.11999999999999,53.11999999999998,53.12
50.0,50.0,50.0
46.88,46.88,46.88
43.75,43.75,43.75
40.62,40.62,40.62
37.5,37.5,37.5
34.38,34.38,34.38
31.25,31.25,31.25
28.119999999999997,28.119999999999994,28.12
25.0,25.0,25.0
21.88,21.88,21.88
18.75,18.75,18.75
15.62,15.62,15.62
12.5,12.5,12.5
9.379999999999999,9.379999999999997,9.38
6.25,6.25,6.25
3.12,3.12,3.12
0.0,0.0,0.0
100.0,100.0,100.0
100.0,100.0,100.0
