episode_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,1.0757380007756837e-06,-1.1758045459841188e-06,3.327280547535486e-06
1,3.808881712834306e-06,-4.16316780383098e-06,1.1780931229499592e-05
2,0.002377903282852094,-0.002549018387392862,0.00730482495309705
3,9.370268696276862e-05,-5.2673463014068846e-05,0.00024007883693960607
4,0.0003181342720567975,-0.00034772841188974226,0.0009839969560033373
5,2.8470614907168326e-05,-1.2604882269109546e-05,6.95461120834462e-05
6,0.005505773190908467,-0.0059414506780478315,0.016952997059864767
7,0.010458154923710659,-0.0073219805664725985,0.02823829041389392
8,0.0008211601634130338,-0.000897547811132266,0.002539868137958334
9,0.000821160186557774,-0.0008975477854379216,0.0025398681585534696
10,2.047027095698972e-19,-2.2374498555446683e-19,6.331504046942613e-19
11,0.006865185199695251,-0.007261323652069999,0.0209916940514605
12,2.73437824489823e-07,-2.9887411924250774e-07,8.457497682221538e-07
13,0.009473828840155674,-0.009900169603053236,0.028847827283364585
14,0.0012075315349181716,-0.0011472290951869194,0.0035622921650232623
15,7.353188416136464e-05,-3.296565041843606e-05,0.00018002941874116534
16,0.00012507350536263706,-0.00013272277868229399,0.0003828697894075681
17,0.02439974125426425,-0.025611458836100852,0.07441094134462936
18,0.0003085920447876317,-0.00016565079082917188,0.0007828348804044354
19,7.767188665637258e-07,-1.2581422155767352e-07,1.679251954685125e-06
20,4.083333244656862e-06,-3.8790122532119725e-06,1.2045678742525696e-05
21,0.0010927785395662012,-0.0004762009881656235,0.002661758067298026
22,5.132716493696862e-08,-4.4190928414456323e-08,1.4684525828839357e-07
23,0.0001529135644814455,-7.849380915495537e-05,0.0003843209381178464
24,0.0006656269963870651,-0.0007264729719180452,0.0020577269646921753
25,1.7796627348021487e-06,-7.66877358593371e-07,4.3262028281976685e-06
26,1.165973345059229e-05,-1.1151660279699738e-05,3.4471127180884316e-05
27,0.001251581101618046,-0.0013680008713879011,0.003871163074623993
28,0.0006825580857410548,-0.0007080279193667915,0.002073144090848901
29,0.0010920970435365793,-0.0004459911673079986,0.002630185254381157
30,0.006961356825941822,-0.0044337885274653745,0.01835650217934902
31,0.008513367444511186,-0.002119793561436307,0.01914652845045868
32,0.011871244588833657,-0.004405193510329192,0.028147682687996507
33,0.005276419817518374,-0.002725906682917947,0.013278746317954695
34,0.012529074441395695,-0.009137582665566552,0.03419573154835794
35,0.003783484031811718,-0.0004990164528357005,0.008065984516459136
36,0.012966169959178268,-0.003927131013769864,0.0298594709321264
37,0.04783079382787908,0.005697204128985597,0.08996438352677257
38,0.051525268350023946,0.01241188584440625,0.09063865085564164
39,0.04551063494606925,0.009286883056782394,0.08173438683535611
40,0.018123123281383584,-0.0031361248953938395,0.03938237145816101
41,0.04595727945625892,-0.010550374973580183,0.10246493388609804
42,0.02751893585954777,0.00959371778131117,0.04544415393778437
43,0.06630909710293326,0.01378415042218533,0.11883404378368118
44,0.06029522381965805,0.008204910735115686,0.11238553690420042
45,0.05357914153433914,0.017770888184431427,0.08938739488424685
46,0.08538587444798126,0.019196466729127865,0.15157528216683466
47,0.058873704405704996,0.02293913573972222,0.09480827307168777
48,0.08656719505129915,0.041941059780255245,0.13119333032234304
49,0.05799638929898034,0.014158296837930164,0.10183448176003052
50,0.11593016965271641,0.054768766741389564,0.17709157256404326
51,0.06951490518982516,0.03817529656355749,0.10085451381609283
52,0.09360511390008348,0.04384085993624633,0.14336936786392063
53,0.07081472402152025,0.016313248250090603,0.1253161997929499
54,0.13462374092929255,0.07072136818712207,0.19852611367146303
55,0.07921595321656102,0.03073325765924436,0.12769864877387768
