instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
19,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
19,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
20,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
20,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
19,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
20,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
20,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
20,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
21,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
21,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
22,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
21,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
22,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
22,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
22,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
22,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
21,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
21,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
23,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
23,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
23,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
23,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
23,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
24,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
24,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
24,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
25,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
24,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
25,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
25,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
24,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
25,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
25,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
26,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
26,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
26,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
26,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
27,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
26,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
27,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
27,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
27,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
27,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
28,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
28,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
28,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
28,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
28,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
29,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
29,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
29,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
29,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
29,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
30,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
30,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
30,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
30,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
30,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
31,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
31,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
31,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
32,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
32,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
31,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
32,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
32,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
33,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
32,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
31,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
33,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
33,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
33,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
33,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
34,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
34,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
34,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
34,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
35,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
35,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
35,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
34,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
35,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
36,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
36,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
35,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
36,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
36,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
36,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
37,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
37,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
37,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
37,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
37,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
38,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
38,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
38,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
38,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
38,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
39,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
39,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
39,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
40,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
39,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
39,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
40,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
40,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
40,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
41,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
41,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
41,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
40,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
41,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
42,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
41,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
42,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
42,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
42,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
43,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
43,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
43,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
43,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
44,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
42,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
43,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
44,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
44,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
44,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
45,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
45,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
44,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
45,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
45,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
45,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
46,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
46,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
46,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
47,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
46,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
46,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
47,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
