instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
0,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
0,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
0,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
0,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
0,4,0.0,0.0,1.0,20,17,11.0,6.5,6.5,6.5,0.0,0.0
1,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
1,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
1,4,0.0,0.0,1.0,20,17,10.0,7.0,7.0,7.0,0.0,0.0
1,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
2,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
2,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
1,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
2,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
2,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
2,4,0.0,0.0,1.0,20,11,9.0,6.0,6.0,6.0,0.0,0.0
3,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
3,4,0.0,0.0,1.0,20,11,10.0,7.0,7.0,7.0,0.0,0.0
3,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
3,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
4,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
4,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
3,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
4,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
4,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
4,4,0.0,0.0,1.0,20,15,12.0,7.0,7.0,7.0,0.0,0.0
5,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
5,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
5,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
5,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
6,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
5,4,0.0,0.0,1.0,20,13,11.0,6.5,6.5,6.5,0.0,0.0
6,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
7,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
6,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
6,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
6,4,0.0,0.0,1.0,20,17,12.0,7.0,7.0,7.0,0.0,0.0
7,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
7,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
7,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
7,4,0.0,0.0,1.0,20,9,8.0,5.5,5.5,5.5,0.0,0.0
8,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
8,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
8,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
8,4,0.0,0.0,1.0,20,11,8.0,5.0,5.0,5.0,0.0,0.0
9,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
8,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
9,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
9,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
9,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
10,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
10,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
9,4,0.0,0.0,1.0,20,5,3.0,3.0,3.0,3.0,0.0,0.0
10,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
10,4,0.0,0.0,1.0,20,5,4.0,3.0,3.0,3.0,0.0,0.0
10,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
11,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
11,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
11,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
11,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
11,4,0.0,0.0,1.0,20,13,10.0,6.5,6.5,6.5,0.0,0.0
12,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
12,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
12,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
12,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
12,4,0.0,0.0,1.0,20,13,9.0,5.5,5.5,5.5,0.0,0.0
13,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
13,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
13,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
13,4,0.0,0.0,1.0,20,19,13.0,9.0,9.0,9.0,0.0,0.0
13,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
14,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
14,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
14,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
14,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
14,4,0.0,0.0,1.0,20,11,9.0,5.5,5.5,5.5,0.0,0.0
15,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
15,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
15,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
15,4,0.0,0.0,1.0,20,9,7.0,4.5,4.5,4.5,0.0,0.0
15,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
16,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
16,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
16,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
16,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
16,4,0.0,0.0,1.0,20,15,13.0,7.5,7.5,7.5,0.0,0.0
17,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
17,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
17,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
18,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
17,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
17,4,0.0,0.0,1.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
18,1,0.8,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
18,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
18,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
18,4,0.0,0.0,1.0,20,13,10.0,6.5,6.5,6.5,0.0,0.0
19,0,1.0,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
19,2,0.5,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
19,3,0.2,1.0,0.0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
19,4,0.0,0.0,1.0,20,17,13.0,8.0,8.0,8.0,0.0,0.0
