instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
0,4,5500,1440,1434.5,1418.0,1393.6,1235.9,1.6622273749857558e-47,749.6817976278971
1,4,5500,1396,1390.5,1373.8,1349.3,1197.42,1.1015929194071408e-49,755.6899346891068
2,4,5500,1363,1357.5,1341.0,1313.2,1147.54,6.750491421538039e-38,763.6275848007017
3,4,5500,1396,1390.5,1374.0,1356.1,1201.08,8.509006551131107e-25,755.6899346891068
4,4,5500,1440,1434.5,1417.8,1396.8,1239.14,6.555012027137075e-42,747.7209134475042
1,3,5500,1418,1412.5,1396.0,1369.2,1213.8,1.0073669034585987e-13,751.7054240683055
0,3,5500,1495,1489.5,1472.8,1445.0,1286.44,5.536920780509198e-53,737.759636895501
4,3,5500,1407,1401.5,1384.8,1357.0,1194.2,4.351685851656836e-31,753.6976793787062
3,3,5500,1385,1379.5,1363.0,1335.1,1175.1,5.745374219076331e-14,757.6821899995075
2,3,5500,1418,1412.5,1396.0,1370.3,1215.6,1.873633551944589e-46,752.7015517235059
2,0,5500,1363,1357.5,1340.8,1312.9,1161.52,1.8848486672584327e-14,760.7019440951162
1,1,5500,1407,1401.5,1384.8,1361.5,1209.62,1.8838816287743046e-10,753.6976793787062
0,1,5500,1429,1423.5,1407.0,1388.0,1221.72,3.430407341082394e-51,748.7484122327123
1,0,5500,1374,1368.5,1351.8,1328.4,1163.86,1.0700550742011714e-48,759.6744453099082
2,1,5500,1429,1423.5,1407.0,1381.4,1217.6,5.958994487107472e-50,750.7092964131052
2,2,5500,1407,1401.5,1385.0,1360.5,1204.84,5.541023705808228e-44,754.6624359038988
4,2,5500,1429,1423.5,1407.0,1383.5,1229.24,5.138459660118985e-51,750.7092964131052
1,2,5500,1385,1379.5,1363.0,1340.7,1187.28,4.326197063379412e-51,757.6821899995075
4,1,5500,1429,1423.5,1407.0,1386.9,1232.36,4.6210399717891714e-29,749.7131687579049
3,1,5500,1495,1489.5,1473.0,1450.6,1284.24,1.3796739544689572e-44,737.759636895501
3,0,5500,1396,1390.5,1373.8,1352.8,1191.22,1.0921636537963697e-47,755.6899346891068
3,2,5500,1418,1412.5,1395.8,1372.5,1213.6,1.1353126163972642e-43,750.740667543113
0,0,5500,1440,1434.5,1418.0,1394.6,1249.32,1.8797419261535594e-45,748.7170411027046
4,0,5500,1407,1401.5,1384.8,1360.4,1195.8,7.39448051982258e-45,753.6976793787062
0,2,5500,1352,1346.5,1330.0,1305.5,1155.1,2.057032283690329e-42,764.6550835859098
5,4,5500,1407,1401.5,1385.0,1358.2,1195.76,2.0598744841813226e-33,753.6976793787062
6,4,5500,1451,1445.5,1428.8,1405.5,1254.94,3.055873465932486e-54,744.763901611911
5,0,5500,1440,1434.5,1417.8,1391.1,1236.66,4.494502681951222e-30,747.7209134475042
7,4,5500,1418,1412.5,1396.0,1374.8,1219.14,1.6605915916251666e-47,752.6701805934981
5,1,5500,1440,1434.5,1417.8,1390.0,1220.8,1.0068205440978257e-52,747.7209134475042
8,4,5500,1451,1445.5,1429.0,1403.3,1248.64,6.109103607347676e-10,746.7247857923039
5,2,5500,1385,1379.5,1363.0,1337.5,1190.4,1.9090319231117435e-40,758.6783176547078
5,3,5500,1429,1423.5,1407.0,1385.7,1225.28,4.698640368847443e-30,749.7445398879127
9,4,5500,1396,1390.5,1373.8,1350.5,1205.46,3.6291399069448866e-45,754.7251781639143
10,4,5500,1385,1379.5,1363.0,1343.9,1191.76,7.305140027455919e-35,758.6783176547078
6,3,5500,1396,1390.5,1374.0,1352.9,1199.36,7.411256282914505e-34,756.6860623443072
7,3,5500,1429,1423.5,1407.0,1386.8,1232.58,3.617833528522376e-43,749.7131687579049
6,0,5500,1418,1412.5,1395.8,1369.1,1216.9,3.785274899105823e-42,751.7054240683055
6,2,5500,1418,1412.5,1396.0,1370.3,1224.02,3.675661712795261e-46,751.7054240683055
8,3,5500,1374,1368.5,1352.0,1326.4,1174.9,2.475330478946707e-21,760.6705729651085
6,1,5500,1451,1445.5,1429.0,1401.0,1240.92,6.156688210774057e-44,745.7286581371036
9,3,5500,1396,1390.5,1373.8,1352.7,1187.84,2.0603599800705364e-49,755.6899346891068
7,0,5500,1374,1368.5,1352.0,1324.1,1163.16,6.464409969696903e-41,759.6744453099082
8,0,5500,1385,1379.5,1363.0,1338.6,1191.02,1.712347864801035e-45,758.6783176547078
7,1,5500,1429,1423.5,1407.0,1386.8,1236.32,1.1377382871638718e-44,749.7445398879127
7,2,5500,1407,1401.5,1384.8,1362.6,1220.3,2.0888434324677265e-41,753.6976793787062
8,1,5500,1396,1390.5,1373.8,1350.5,1194.44,5.139500985866956e-41,755.7213058191146
9,0,5500,1429,1423.5,1406.8,1382.3,1221.5,1.245452285273248e-41,749.7131687579049
9,1,5500,1418,1412.5,1395.8,1370.2,1212.94,7.516037455606165e-31,751.7054240683055
8,2,5500,1418,1412.5,1396.0,1368.0,1207.68,1.58826902979579e-52,751.7367951983133
9,2,5500,1385,1379.5,1363.0,1337.3,1175.8,5.492825094125112e-45,757.6821899995075
11,4,5500,1363,1357.5,1341.0,1319.8,1173.16,1.6864080522061011e-46,762.6628282755091
12,4,5500,1363,1357.5,1341.0,1315.4,1155.08,5.6267283614232735e-43,762.6628282755091
10,3,5500,1407,1401.5,1385.0,1360.6,1214.6,1.820753383829498e-41,754.6938070339065
10,1,5500,1418,1412.5,1395.8,1374.7,1218.9,1.1116189109669078e-49,751.7367951983133
13,4,5500,1462,1456.5,1440.0,1416.5,1250.16,1.903138424147123e-45,743.7677739567107
10,0,5500,1407,1401.5,1384.8,1362.6,1222.06,5.719308481005996e-51,752.7329228535136
10,2,5500,1385,1379.5,1362.8,1341.7,1197.14,4.226904877766696e-34,757.6821899995075
14,4,5500,1363,1357.5,1341.0,1314.2,1157.22,1.4744831349605539e-30,762.6628282755091
11,0,5500,1418,1412.5,1396.0,1374.9,1216.86,2.1551371454826148e-39,752.6701805934981
11,1,5500,1418,1412.5,1396.0,1369.2,1216.48,7.64803353966167e-23,751.7054240683055
11,2,5500,1429,1423.5,1407.0,1381.3,1228.4,5.53452203967748e-49,749.7131687579049
11,3,5500,1429,1423.5,1407.0,1381.4,1214.92,2.058588136103283e-33,750.7092964131052
15,4,5500,1407,1401.5,1384.8,1360.4,1204.12,1.961910466074267e-43,753.6976793787062
12,3,5500,1429,1423.5,1406.8,1382.4,1222.14,3.161224084549548e-14,749.7131687579049
13,3,5500,1473,1467.5,1451.0,1427.6,1270.64,2.435307534245387e-31,741.77551864631
12,1,5500,1451,1445.5,1429.0,1401.0,1245.82,1.7388285273132997e-44,745.7286581371036
12,0,5500,1429,1423.5,1407.0,1385.8,1229.72,0.006801912438922246,749.7131687579049
12,2,5500,1396,1390.5,1373.8,1349.3,1196.6,3.110736801379917e-54,755.6899346891068
13,0,5500,1429,1423.5,1407.0,1383.6,1233.7,4.985397938210023e-53,750.7092964131052
16,4,5500,1407,1401.5,1385.0,1359.4,1207.92,2.8451016760945505e-14,753.729050508714
14,3,5500,1396,1390.5,1374.0,1350.6,1192.78,5.4873005570584735e-46,755.6899346891068
13,2,5500,1429,1423.5,1407.0,1385.8,1230.8,2.4031732203648476e-25,749.7445398879127
13,1,5500,1407,1401.5,1384.8,1361.5,1207.88,2.1511355896022753e-37,752.7329228535136
14,0,5500,1429,1423.5,1407.0,1379.1,1218.62,7.642253090019434e-32,749.7131687579049
14,1,5500,1429,1423.5,1406.8,1383.5,1230.38,5.622449584666383e-52,749.7131687579049
14,2,5500,1363,1357.5,1340.8,1317.5,1161.82,4.69864036885915e-30,760.7019440951162
15,3,5500,1374,1368.5,1352.0,1331.9,1190.98,1.3655759130997115e-35,758.7096887847156
15,0,5500,1429,1423.5,1407.0,1379.0,1211.38,4.852947782884561e-25,749.7131687579049
17,4,5500,1440,1434.5,1418.0,1390.2,1225.98,1.936081025697274e-37,748.7170411027046
15,1,5500,1407,1401.5,1385.0,1361.7,1201.9,8.780776333926388e-14,754.6938070339065
15,2,5500,1462,1456.5,1440.0,1412.0,1247.72,3.975239556006182e-38,744.7325304819033
18,4,5500,1363,1357.5,1340.8,1313.0,1170.78,5.983936158728796e-48,761.6667006203088
16,0,5500,1396,1390.5,1373.8,1351.6,1205.26,3.617827537446832e-43,754.7251781639143
16,3,5500,1407,1401.5,1385.0,1359.4,1190.28,1.2258576500661836e-38,754.6938070339065
19,4,5500,1429,1423.5,1407.0,1380.3,1222.7,1.6884758454008282e-48,750.7092964131052
16,1,5500,1418,1412.5,1396.0,1370.4,1218.1,5.298616213289455e-49,752.7015517235059
16,2,5500,1418,1412.5,1395.8,1374.8,1225.7,5.6226947496291966e-52,751.7367951983133
17,0,5500,1407,1401.5,1385.0,1357.1,1191.16,2.5163987038598215e-22,755.6585635590991
17,1,5500,1418,1412.5,1396.0,1370.4,1227.52,5.641028852014666e-52,751.7054240683055
20,4,5500,1451,1445.5,1428.8,1404.3,1249.08,1.2777725735637391e-49,745.7286581371036
17,2,5500,1396,1390.5,1374.0,1346.0,1187.9,5.541021326920992e-44,755.6899346891068
21,4,5500,1418,1412.5,1395.8,1374.8,1225.54,5.797693980759756e-50,751.7367951983133
17,3,5500,1418,1412.5,1396.0,1368.1,1201.16,5.089281845962881e-41,753.6663082486984
18,3,5500,1352,1346.5,1329.8,1305.3,1152.14,9.047615415646947e-21,762.6941994055169
18,1,5500,1363,1357.5,1341.0,1313.1,1162.3,8.762678120730672e-21,761.6667006203088
18,0,5500,1385,1379.5,1363.0,1337.4,1186.38,1.686270693681454e-46,759.6430741799004
19,3,5500,1451,1445.5,1429.0,1403.3,1252.34,6.062920073239791e-45,746.7247857923039
18,2,5500,1440,1434.5,1418.0,1392.4,1238.96,3.4147491360360283e-51,747.7209134475042
19,0,5500,1374,1368.5,1351.8,1330.8,1187.22,4.460925569963381e-30,758.7096887847156
19,1,5500,1407,1401.5,1384.8,1361.5,1206.36,2.2524863224502717e-34,752.7329228535136
19,2,5500,1440,1434.5,1417.8,1396.7,1242.62,7.177852980478272e-34,746.7561569223117
22,4,5500,1418,1412.5,1395.8,1374.8,1220.5,6.362759207445954e-44,750.740667543113
20,0,5500,1418,1412.5,1395.8,1371.3,1213.38,4.2853219190225875e-36,751.7054240683055
20,3,5500,1429,1423.5,1407.0,1383.6,1234.96,2.883145288393039e-20,749.7131687579049
20,1,5500,1396,1390.5,1374.0,1349.4,1187.22,6.096653740434075e-38,755.6899346891068
23,4,5500,1363,1357.5,1341.0,1322.0,1178.88,1.9114968691505952e-11,761.6667006203088
21,3,5500,1407,1401.5,1385.0,1357.1,1184.74,4.8451570821287605e-28,754.6938070339065
20,2,5500,1352,1346.5,1329.8,1307.6,1169.92,3.785310574569472e-42,762.6941994055169
21,0,5500,1374,1368.5,1351.8,1328.5,1182.42,5.321013485532068e-19,759.6744453099082
24,4,5500,1407,1401.5,1385.0,1361.5,1199.96,7.068540772984103e-35,754.6624359038988
21,1,5500,1396,1390.5,1374.0,1352.7,1198.9,6.446752722844387e-41,755.6899346891068
21,2,5500,1374,1368.5,1351.8,1327.3,1179.32,7.516037455606165e-31,759.6744453099082
22,0,5500,1407,1401.5,1385.0,1363.9,1211.26,8.018845555929299e-22,754.6938070339065
22,1,5500,1418,1412.5,1396.0,1378.1,1232.6,6.954230954985501e-49,750.740667543113
22,3,5500,1440,1434.5,1418.0,1390.1,1235.24,7.648033617286977e-23,748.7170411027046
25,4,5500,1396,1390.5,1374.0,1346.0,1185.92,5.626702580146816e-43,756.6546912142994
22,2,5500,1440,1434.5,1418.0,1393.5,1247.34,1.5184542309366378e-26,747.752284577512
