task_number,average_return,average_return_lo,average_return_up
0,0.6930175006913205,0.5935410145158286,0.7924939868668124
1,0.6756920631740375,0.5726726464546396,0.7787114798934355
2,0.7692463483271134,0.6519631738793851,0.8865295227748416
3,0.656067558858826,0.5618949075420768,0.7502402101755751
4,0.6756920631740375,0.5726726464546396,0.7787114798934355
5,0.6390915066921766,0.5359892667530819,0.7421937466312714
6,0.6582281717819481,0.5578713879435887,0.7585849556203076
7,0.6559097042367076,0.5559064056429011,0.7559130028305141
8,0.788970613668834,0.6757209132425024,0.9022203140951657
9,0.7692463483271134,0.6519631738793851,0.8865295227748416
10,0.788970613668834,0.6757209132425024,0.9022203140951657
11,0.8438822715153179,0.8438822715153179,0.8438822715153179
12,0.8200844485735324,0.8200844485735324,0.8200844485735324
13,0.8200844485735324,0.8200844485735324,0.8200844485735324
14,0.8200844485735324,0.8200844485735324,0.8200844485735324
15,0.8438822715153179,0.8438822715153179,0.8438822715153179
16,0.8200844485735324,0.8200844485735324,0.8200844485735324
17,0.8409098772265483,0.8409098772265483,0.8409098772265483
18,0.8662718758641507,0.8662718758641507,0.8662718758641507
19,0.9862132670860427,0.9862132670860427,0.9862132670860427
20,0.8438822715153179,0.8438822715153179,0.8438822715153179
21,0.8409098772265483,0.8409098772265483,0.8409098772265483
22,0.8662718758641507,0.8662718758641507,0.8662718758641507
23,0.8438822715153179,0.8438822715153179,0.8438822715153179
24,0.8662718758641507,0.8662718758641507,0.8662718758641507
25,0.8438822715153179,0.8438822715153179,0.8438822715153179
26,0.8662718758641507,0.8662718758641507,0.8662718758641507
27,0.9862132670860427,0.9862132670860427,0.9862132670860427
28,0.8409098772265483,0.8409098772265483,0.8409098772265483
29,0.9862132670860427,0.9862132670860427,0.9862132670860427
30,0.8438822715153179,0.8438822715153179,0.8438822715153179
31,0.8438822715153179,0.8438822715153179,0.8438822715153179
32,0.8409098772265483,0.8409098772265483,0.8409098772265483
33,0.8662718758641507,0.8662718758641507,0.8662718758641507
34,0.9862132670860427,0.9862132670860427,0.9862132670860427
35,0.8662718758641507,0.8662718758641507,0.8662718758641507
36,0.8409098772265483,0.8409098772265483,0.8409098772265483
37,0.8662718758641507,0.8662718758641507,0.8662718758641507
38,0.8662718758641507,0.8662718758641507,0.8662718758641507
39,0.8200844485735324,0.8200844485735324,0.8200844485735324
40,0.8409098772265483,0.8409098772265483,0.8409098772265483
41,0.8662718758641507,0.8662718758641507,0.8662718758641507
42,0.8409098772265483,0.8409098772265483,0.8409098772265483
43,0.9862132670860427,0.9862132670860427,0.9862132670860427
44,0.8409098772265483,0.8409098772265483,0.8409098772265483
45,0.9862132670860427,0.9862132670860427,0.9862132670860427
46,0.9862132670860427,0.9862132670860427,0.9862132670860427
47,0.8662718758641507,0.8662718758641507,0.8662718758641507
48,0.8200844485735324,0.8200844485735324,0.8200844485735324
49,0.9862132670860427,0.9862132670860427,0.9862132670860427
