task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,1.2969953431106152e-16,-1.3552739851700195e-16,3.9492646713912496e-16
1,1.9970879885205306e-47,-2.0874155607910732e-47,6.081591537832135e-47
2,3.155404082908896e-31,-3.2781035329771712e-31,9.588911698794963e-31
3,1.0956268030512536e-13,-7.614914111316195e-14,2.9527450172341267e-13
4,8.952560739715845e-41,-9.357481858144475e-41,2.7262603337576167e-40
5,3.466780937399404e-26,-3.623582198549413e-26,1.0557144073348222e-25
6,6.214022933670917e-10,-5.902651988277654e-10,1.8330697855619488e-09
7,1.61569393333344e-24,-1.6784341419351596e-24,4.90982200860204e-24
8,1.0169838978957476e-12,-1.0628232593531973e-12,3.0967910551446926e-12
9,3.9659865392977265e-16,-4.145366691173281e-16,1.2077339769768733e-15
10,1.2730781651128938e-23,-1.0136800441485594e-23,3.559836374374347e-23
11,4.6582873099939765e-32,-4.8689799779763155e-32,1.4185554597964268e-31
12,2.502402814010134e-09,-1.1277292354356638e-09,6.1325348634559315e-09
13,2.0881729406775298e-15,-2.182600214925007e-15,6.358946096280066e-15
14,3.0744994314943116e-28,-3.2131347393195868e-28,9.36213360230821e-28
15,1.005813965414223e-12,-1.039725075722337e-12,3.0513530065507826e-12
16,2.455394377474776e-12,-2.5650699197121644e-12,7.475858674661716e-12
17,1.1068693569181076e-35,-1.1564477794721479e-35,3.370186493308363e-35
18,2.1299513347500032e-39,-2.2262822175406214e-39,6.486184887040627e-39
19,2.029386917751868e-08,-2.00641996523225e-08,6.065193800735986e-08
20,1.999945654048573e-47,-2.0843604637800815e-47,6.084251771877227e-47
21,2.364777199565016e-13,-2.468038095119111e-13,7.197592494249143e-13
22,1.4502684864174763e-40,-6.106248135622604e-41,3.511161786397213e-40
23,1.5683784752460257e-55,-1.5318523370238204e-55,4.668609287515872e-55
24,6.080910377937128e-09,-6.077020032073403e-09,1.823884078794766e-08
25,1.1023593461480085e-12,-9.784978062347435e-13,3.1832164985307603e-12
26,1.7800453014718347e-09,-7.442412541989101e-10,4.30433185714258e-09
27,7.251626569849905e-41,-7.579009666706804e-41,2.2082262806406615e-40
28,2.8456625696134554e-14,-1.5456882737481496e-14,7.23701341297506e-14
29,3.064150085941686e-09,-3.2005885129820773e-09,9.32888868486545e-09
