episode_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.0004454499038211766,-0.00037003139692678115,0.0012609312045691343
1,3.998981413614257e-05,-4.0257415248199335e-05,0.00012023704352048448
2,0.0012871943676314003,-0.00028355684858468247,0.002857945583847483
3,0.0012810868350944537,-0.0010568639268041075,0.003619037596993015
4,0.0009069642341424458,-0.0007961865519258949,0.0026101150202107867
5,0.00012397111527833997,-0.00010638727547842246,0.0003543295060351024
6,0.0010743619671406822,-0.0008304966619385329,0.0029792205962198975
7,9.871243295587657e-05,-3.284342765451503e-05,0.00023026829356626816
8,0.00011478512977510084,-2.6518119831299606e-05,0.0002560883793815013
9,0.0034346258525669066,-0.002606114959200124,0.009475366664333938
10,0.0007168508203611732,-0.00043833125852235286,0.0018720328992446991
11,0.00048726346891335345,-0.000276599743969225,0.001251126681795932
12,0.0018870812080533583,-0.0004446992990082834,0.004218861715115
13,0.00821543959056716,0.0016118862970055277,0.01481899288412879
14,0.008767084687972842,0.0014394681127268957,0.016094701263218786
15,0.005837519663720639,0.0010495798651105085,0.010625459462330771
16,0.011648325688284701,0.0026108856020992856,0.020685765774470115
17,0.01293589520578056,0.0018562594012252569,0.024015531010335864
18,0.02362231356335742,0.00942445711289421,0.037820170013820625
19,0.021439362187770938,0.008237754881956164,0.03464096949358571
20,0.014253260038437512,0.0020384887817539773,0.02646803129512105
21,0.019399361653567523,0.01080018816154327,0.027998535145591776
22,0.04347643792225303,0.023274087879839502,0.06367878796466656
23,0.027501777675938078,0.011393509762020766,0.04361004558985539
24,0.06127240567167846,0.03767174164193542,0.0848730697014215
25,0.053256846778843944,0.03312000036983157,0.07339369318785632
26,0.03164571808099301,0.017815265241452397,0.04547617092053362
27,0.04896505111581236,0.031056328964787768,0.06687377326683695
28,0.0573595288659384,0.035643855480375256,0.07907520225150154
29,0.06749878134214331,0.042765563195413435,0.09223199948887317
30,0.082978616539921,0.05438145056437399,0.11157578251546801
31,0.07058897899848775,0.04470106948320175,0.09647688851377374
32,0.06256921421946042,0.042385092037557255,0.08275333640136359
33,0.09481414923483562,0.06843316191335681,0.12119513655631443
34,0.09383732884233487,0.06605371430036858,0.12162094338430116
35,0.10627610405415137,0.07532908836218152,0.13722311974612122
36,0.08408031063177178,0.058763746173853916,0.10939687508968965
37,0.08876278315621335,0.062422534293892544,0.11510303201853414
38,0.13342005067290558,0.10472110946874763,0.16211899187706352
39,0.11340831846760917,0.08290730807834301,0.14390932885687532
40,0.1127018551702374,0.08384940434248389,0.1415543059979909
41,0.13060600966462402,0.09822881087492034,0.16298320845432768
42,0.12994673017338917,0.10391400580321321,0.15597945454356515
43,0.12461678022589197,0.09596054191755374,0.1532730185342302
44,0.1283919814206203,0.09871470507613347,0.15806925776510714
45,0.14513541076397937,0.11460205041080541,0.17566877111715332
46,0.12003926131882597,0.09348148215540739,0.14659704048224456
47,0.12795040651226913,0.095684916223314,0.16021589680122428
48,0.14283639075065577,0.11269978972475617,0.17297299177655537
49,0.16089906291708214,0.13054733264191942,0.19125079319224486
