instance_number,run_number,n_time_steps,n_time_steps_cv
1,4,5500,2969
2,4,5500,4509
3,4,5500,5411
0,4,5500,3794
1,3,5500,5367
4,3,5500,5103
4,4,5500,4839
2,3,5500,4267
3,3,5500,4333
0,3,5500,3651
2,2,5500,5180
4,2,5500,4311
4,0,5500,3046
1,0,5500,3365
3,0,5500,4960
3,1,5500,3288
2,1,5500,3013
0,1,5500,3882
0,2,5500,5048
1,2,5500,5356
0,0,5500,4003
2,0,5500,5444
4,1,5500,2639
3,2,5500,4828
1,1,5500,3046
5,4,5500,5323
5,0,5500,4377
6,4,5500,2650
5,1,5500,5048
7,4,5500,4586
5,2,5500,5158
8,4,5500,3739
5,3,5500,4641
9,3,5500,2958
9,4,5500,5125
6,3,5500,5400
6,0,5500,3431
7,3,5500,5367
6,1,5500,5125
6,2,5500,5433
8,3,5500,5169
10,4,5500,3783
7,0,5500,4322
9,2,5500,5499
8,1,5500,4575
8,2,5500,5400
8,0,5500,2617
7,1,5500,2727
7,2,5500,5466
9,0,5500,3211
9,1,5500,3629
11,4,5500,5147
10,3,5500,4135
10,0,5500,4960
10,1,5500,4410
10,2,5500,4410
12,4,5500,3948
13,4,5500,5092
11,0,5500,5466
14,4,5500,2529
11,1,5500,3948
11,3,5500,5070
12,3,5500,3431
11,2,5500,5180
15,4,5500,4476
12,0,5500,4498
12,1,5500,3893
12,2,5500,4938
13,0,5500,5400
14,3,5500,5059
13,2,5500,5389
13,1,5500,4905
14,0,5500,3057
13,3,5500,4399
14,2,5500,4916
14,1,5500,4223
16,4,5500,5301
15,3,5500,3310
15,0,5500,5169
17,4,5500,4399
15,1,5500,5191
15,2,5500,4586
16,0,5500,3354
16,1,5500,2562
16,3,5500,3585
18,4,5500,4355
19,4,5500,2771
16,2,5500,3992
17,3,5500,4168
17,0,5500,4025
17,1,5500,4388
17,2,5500,4696
20,4,5500,5158
18,0,5500,4585
18,3,5500,5147
18,1,5500,5400
18,2,5500,5125
21,4,5500,2870
19,3,5500,2969
19,1,5500,3772
19,0,5500,3750
19,2,5500,2771
20,0,5500,4476
22,4,5500,3816
20,3,5500,5411
20,1,5500,4597
20,2,5500,5422
23,4,5500,4531
21,3,5500,4927
21,0,5500,4586
21,1,5500,4190
21,2,5500,3002
22,1,5500,5125
24,4,5500,3365
22,0,5500,4729
25,4,5500,3332
22,3,5500,4377
22,2,5500,3728
23,0,5500,5037
23,1,5500,4575
26,4,5500,3398
23,2,5500,4421
23,3,5500,4696
24,0,5500,5125
24,1,5500,5345
24,2,5500,3695
24,3,5500,4740
25,0,5500,3959
25,3,5500,4399
25,1,5500,3948
27,4,5500,4432
25,2,5500,3497
26,3,5500,4993
26,0,5500,4036
26,1,5500,5455
28,4,5500,4223
29,4,5500,5323
26,2,5500,5455
27,0,5500,5466
27,3,5500,3199
27,1,5500,3783
27,2,5500,4729
30,4,5500,4520
28,3,5500,5224
28,0,5500,5400
28,1,5500,5224
28,2,5500,5125
29,3,5500,5180
31,4,5500,2771
29,0,5500,4960
29,1,5500,4938
29,2,5500,4520
32,4,5500,4102
30,0,5500,4773
30,1,5500,4916
30,3,5500,3563
30,2,5500,3475
31,1,5500,5092
31,0,5500,5389
31,3,5500,4905
33,4,5500,4575
31,2,5500,2705
34,4,5500,2870
32,0,5500,4135
32,2,5500,4245
32,3,5500,5004
32,1,5500,4652
35,4,5500,4762
33,0,5500,3574
33,1,5500,4982
33,3,5500,5301
33,2,5500,5477
36,4,5500,3464
34,3,5500,3343
34,0,5500,4520
35,0,5500,5455
34,1,5500,5422
34,2,5500,4883
35,3,5500,4399
35,1,5500,4432
37,4,5500,5400
35,2,5500,4454
36,0,5500,4674
38,4,5500,5235
36,3,5500,5499
36,2,5500,5004
36,1,5500,3783
37,0,5500,4289
39,4,5500,5191
37,3,5500,2408
37,1,5500,4355
37,2,5500,5213
38,0,5500,4960
40,4,5500,3904
38,1,5500,5411
38,2,5500,2705
38,3,5500,3629
41,4,5500,4245
39,0,5500,5268
39,1,5500,3937
39,3,5500,4146
39,2,5500,4102
42,4,5500,5454
40,0,5500,4377
40,3,5500,3387
40,1,5500,3662
40,2,5500,5048
41,0,5500,3486
43,4,5500,3266
41,1,5500,3728
42,3,5500,5037
41,3,5500,3893
41,2,5500,5323
44,4,5500,5279
42,0,5500,2694
42,1,5500,4828
42,2,5500,4608
45,4,5500,4520
43,0,5500,4784
43,1,5500,3255
43,3,5500,5411
43,2,5500,5202
46,4,5500,3255
44,0,5500,4762
44,3,5500,5345
44,1,5500,3618
44,2,5500,4949
45,3,5500,3519
47,4,5500,5103
45,1,5500,5367
45,0,5500,4531
45,2,5500,5213
48,4,5500,4652
46,0,5500,5312
46,1,5500,4872
46,3,5500,5334
46,2,5500,4278
49,4,5500,3530
47,0,5500,4718
47,3,5500,4157
50,4,5500,5213
47,1,5500,4850
47,2,5500,2001
48,0,5500,5334
48,3,5500,3563
48,1,5500,3310
48,2,5500,5378
51,4,5500,2639
49,0,5500,4960
49,3,5500,3123
49,1,5500,4894
49,2,5500,5125
52,4,5500,4894
50,0,5500,3244
50,3,5500,4773
50,1,5500,3992
50,2,5500,5301
53,4,5500,3189
