instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
0,2,0.5,1.0,0.0,200,7
0,0,1.0,1.0,0.0,200,7
0,1,0.8,1.0,0.0,200,7
0,3,0.2,1.0,0.0,200,7
0,4,0.0,0.0,1.0,200,19
1,0,1.0,1.0,0.0,200,7
1,1,0.8,1.0,0.0,200,7
1,2,0.5,1.0,0.0,200,7
1,3,0.2,1.0,0.0,200,7
1,4,0.0,0.0,1.0,200,11
2,0,1.0,1.0,0.0,200,7
2,1,0.8,1.0,0.0,200,7
2,2,0.5,1.0,0.0,200,7
2,3,0.2,1.0,0.0,200,7
2,4,0.0,0.0,1.0,200,13
3,1,0.8,1.0,0.0,200,7
3,2,0.5,1.0,0.0,200,7
3,3,0.2,1.0,0.0,200,7
4,0,1.0,1.0,0.0,200,7
3,0,1.0,1.0,0.0,200,7
3,4,0.0,0.0,1.0,200,7
4,1,0.8,1.0,0.0,200,7
5,2,0.5,1.0,0.0,200,7
5,0,1.0,1.0,0.0,200,7
5,3,0.2,1.0,0.0,200,7
4,3,0.2,1.0,0.0,200,7
4,2,0.5,1.0,0.0,200,7
6,0,1.0,1.0,0.0,200,7
5,1,0.8,1.0,0.0,200,7
5,4,0.0,0.0,1.0,200,7
4,4,0.0,0.0,1.0,200,11
6,3,0.2,1.0,0.0,200,7
6,2,0.5,1.0,0.0,200,7
6,1,0.8,1.0,0.0,200,7
6,4,0.0,0.0,1.0,200,15
7,0,1.0,1.0,0.0,200,7
7,1,0.8,1.0,0.0,200,7
7,2,0.5,1.0,0.0,200,7
7,3,0.2,1.0,0.0,200,7
7,4,0.0,0.0,1.0,200,21
8,0,1.0,1.0,0.0,200,7
8,1,0.8,1.0,0.0,200,7
8,2,0.5,1.0,0.0,200,7
8,3,0.2,1.0,0.0,200,7
8,4,0.0,0.0,1.0,200,15
9,1,0.8,1.0,0.0,200,7
9,0,1.0,1.0,0.0,200,7
9,3,0.2,1.0,0.0,200,7
9,4,0.0,0.0,1.0,200,17
9,2,0.5,1.0,0.0,200,7
