episode_number,average_return,average_return_lo,average_return_up
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.016738565846560128,-0.016898841539554014,0.05037597323267427
3,0.016738565846560128,-0.016898841539554014,0.05037597323267427
4,0.06965909055573574,0.0017752463568510707,0.13754293475462043
5,0.01828339552092486,-0.018458463320296666,0.055025254362146385
6,0.08463749176898683,0.011737782795711096,0.15753720074226257
7,0.17190168687215623,0.07298464726821635,0.2708187264760961
8,0.12340052287030033,0.035480317340501805,0.21132072840009886
9,0.29257130306241064,0.17535435367311586,0.4097882524517054
10,0.43441176270701126,0.3092865725419427,0.5595369528720798
11,0.6063049596770438,0.49179187983401507,0.7208180395200725
12,0.7640980817394964,0.6820918249817218,0.8461043384972711
13,0.8680360874415092,0.8544852682643268,0.8815869066186915
14,0.8680360874415092,0.8544852682643268,0.8815869066186915
15,0.8680360874415092,0.8544852682643268,0.8815869066186915
16,0.8680360874415092,0.8544852682643268,0.8815869066186915
17,0.8680360874415092,0.8544852682643268,0.8815869066186915
18,0.8680360874415092,0.8544852682643268,0.8815869066186915
19,0.8680360874415092,0.8544852682643268,0.8815869066186915
20,0.8680360874415092,0.8544852682643268,0.8815869066186915
21,0.8680360874415092,0.8544852682643268,0.8815869066186915
22,0.8680360874415092,0.8544852682643268,0.8815869066186915
23,0.8680360874415092,0.8544852682643268,0.8815869066186915
24,0.8680360874415092,0.8544852682643268,0.8815869066186915
25,0.8680360874415092,0.8544852682643268,0.8815869066186915
26,0.8680360874415092,0.8544852682643268,0.8815869066186915
27,0.8680360874415092,0.8544852682643268,0.8815869066186915
28,0.8680360874415092,0.8544852682643268,0.8815869066186915
29,0.8680360874415092,0.8544852682643268,0.8815869066186915
30,0.8680360874415092,0.8544852682643268,0.8815869066186915
31,0.8680360874415092,0.8544852682643268,0.8815869066186915
32,0.8680360874415092,0.8544852682643268,0.8815869066186915
33,0.8680360874415092,0.8544852682643268,0.8815869066186915
34,0.8680360874415092,0.8544852682643268,0.8815869066186915
35,0.8680360874415092,0.8544852682643268,0.8815869066186915
36,0.8680360874415092,0.8544852682643268,0.8815869066186915
37,0.8680360874415092,0.8544852682643268,0.8815869066186915
38,0.8680360874415092,0.8544852682643268,0.8815869066186915
39,0.8680360874415092,0.8544852682643268,0.8815869066186915
40,0.8680360874415092,0.8544852682643268,0.8815869066186915
41,0.8680360874415092,0.8544852682643268,0.8815869066186915
42,0.8680360874415092,0.8544852682643268,0.8815869066186915
43,0.8680360874415092,0.8544852682643268,0.8815869066186915
44,0.8680360874415092,0.8544852682643268,0.8815869066186915
45,0.8680360874415092,0.8544852682643268,0.8815869066186915
46,0.8680360874415092,0.8544852682643268,0.8815869066186915
47,0.8680360874415092,0.8544852682643268,0.8815869066186915
48,0.8680360874415092,0.8544852682643268,0.8815869066186915
49,0.8680360874415092,0.8544852682643268,0.8815869066186915
