task_number,average_return,average_return_lo,average_return_up
0,0.6756920631740375,0.5726726464546396,0.7787114798934355
1,0.7449938132431696,0.6587011866484154,0.8312864398379238
2,0.8481434096939967,0.7499029662829095,0.9463838531050839
3,0.7052726257732378,0.6235809039609295,0.7869643475855461
4,0.7449938132431696,0.6587011866484154,0.8312864398379238
5,0.7231824944148315,0.6394162726810779,0.8069487161485851
6,0.7257387535031735,0.6416764403025265,0.8098010667038206
7,0.7400006919593625,0.6615516502742139,0.818449733644511
8,0.8481434096939967,0.7499029662829095,0.9463838531050839
9,0.8481434096939967,0.7499029662829095,0.9463838531050839
10,0.8481434096939967,0.7499029662829095,0.9463838531050839
11,0.7257387535031735,0.6416764403025265,0.8098010667038206
12,0.7052726257732378,0.6235809039609295,0.7869643475855461
13,0.7052726257732378,0.6235809039609295,0.7869643475855461
14,0.7052726257732378,0.6235809039609295,0.7869643475855461
15,0.7257387535031735,0.6416764403025265,0.8098010667038206
16,0.7052726257732378,0.6235809039609295,0.7869643475855461
17,0.7231824944148315,0.6394162726810779,0.8069487161485851
18,0.7449938132431696,0.6587011866484154,0.8312864398379238
19,0.8481434096939967,0.7499029662829095,0.9463838531050839
20,0.7088611080728672,0.6200458202584614,0.7976763958872729
21,0.7231824944148315,0.6394162726810779,0.8069487161485851
22,0.7623192507604526,0.6815041713556592,0.843134330165246
23,0.7088611080728672,0.6200458202584614,0.7976763958872729
24,0.7449938132431696,0.6587011866484154,0.8312864398379238
25,0.7257387535031735,0.6416764403025265,0.8098010667038206
26,0.7449938132431696,0.6587011866484154,0.8312864398379238
27,0.8284191443522759,0.7246240794253285,0.9322142092792234
28,0.7063642968703006,0.6178618418563527,0.7948667518842484
29,0.8481434096939967,0.7499029662829095,0.9463838531050839
30,0.7257387535031735,0.6416764403025265,0.8098010667038206
31,0.7257387535031735,0.6416764403025265,0.8098010667038206
32,0.7231824944148315,0.6394162726810779,0.8069487161485851
33,0.7449938132431696,0.6587011866484154,0.8312864398379238
34,0.8481434096939967,0.7499029662829095,0.9463838531050839
35,0.7449938132431696,0.6587011866484154,0.8312864398379238
36,0.7231824944148315,0.6394162726810779,0.8069487161485851
37,0.7449938132431696,0.6587011866484154,0.8312864398379238
38,0.7623192507604526,0.6815041713556592,0.843134330165246
39,0.6888709368017671,0.60256027619103,0.7751815974125043
40,0.7231824944148315,0.6394162726810779,0.8069487161485851
41,0.7276683757258866,0.6364966701724026,0.8188400812793706
42,0.7231824944148315,0.6394162726810779,0.8069487161485851
43,0.8481434096939967,0.7499029662829095,0.9463838531050839
44,0.7231824944148315,0.6394162726810779,0.8069487161485851
45,0.8284191443522759,0.7246240794253285,0.9322142092792234
46,0.8481434096939967,0.7499029662829095,0.9463838531050839
47,0.7623192507604526,0.6815041713556592,0.843134330165246
48,0.7052726257732378,0.6235809039609295,0.7869643475855461
49,0.8481434096939967,0.7499029662829095,0.9463838531050839
