episode_number,average_return,average_return_lo,average_return_up
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.019724265341720854,-0.019913129807495208,0.05936166049093691
5,0.03654246288625182,-0.015020220480199478,0.08810514625270312
6,0.08810226686504055,0.012057070000701553,0.16414746372937955
7,0.072251908626383,0.0015889380856276142,0.1429148791671384
8,0.053927348289310235,-0.007507874097473312,0.11536257067609379
9,0.11892020641454705,0.034297419732435344,0.20354299309665874
10,0.2300693149915587,0.11833524383330915,0.3418033861498082
11,0.45680069648715277,0.33018478869192536,0.5834166042823802
12,0.7923418066210961,0.7146735134076518,0.8700100998345404
13,0.8799368335133845,0.8623019332620484,0.8975717337647205
14,0.8799368335133845,0.8623019332620484,0.8975717337647205
15,0.8799368335133845,0.8623019332620484,0.8975717337647205
16,0.8799368335133845,0.8623019332620484,0.8975717337647205
17,0.8799368335133845,0.8623019332620484,0.8975717337647205
18,0.8799368335133845,0.8623019332620484,0.8975717337647205
19,0.8799368335133845,0.8623019332620484,0.8975717337647205
20,0.8799368335133845,0.8623019332620484,0.8975717337647205
21,0.8799368335133845,0.8623019332620484,0.8975717337647205
22,0.8799368335133845,0.8623019332620484,0.8975717337647205
23,0.8799368335133845,0.8623019332620484,0.8975717337647205
24,0.8799368335133845,0.8623019332620484,0.8975717337647205
25,0.8799368335133845,0.8623019332620484,0.8975717337647205
26,0.8799368335133845,0.8623019332620484,0.8975717337647205
27,0.8799368335133845,0.8623019332620484,0.8975717337647205
28,0.8799368335133845,0.8623019332620484,0.8975717337647205
29,0.8799368335133845,0.8623019332620484,0.8975717337647205
30,0.8799368335133845,0.8623019332620484,0.8975717337647205
31,0.8799368335133845,0.8623019332620484,0.8975717337647205
32,0.8799368335133845,0.8623019332620484,0.8975717337647205
33,0.8799368335133845,0.8623019332620484,0.8975717337647205
34,0.8799368335133845,0.8623019332620484,0.8975717337647205
35,0.8799368335133845,0.8623019332620484,0.8975717337647205
36,0.8799368335133845,0.8623019332620484,0.8975717337647205
37,0.8799368335133845,0.8623019332620484,0.8975717337647205
38,0.8799368335133845,0.8623019332620484,0.8975717337647205
39,0.8799368335133845,0.8623019332620484,0.8975717337647205
40,0.8799368335133845,0.8623019332620484,0.8975717337647205
41,0.8799368335133845,0.8623019332620484,0.8975717337647205
42,0.8799368335133845,0.8623019332620484,0.8975717337647205
43,0.8799368335133845,0.8623019332620484,0.8975717337647205
44,0.8799368335133845,0.8623019332620484,0.8975717337647205
45,0.8799368335133845,0.8623019332620484,0.8975717337647205
46,0.8799368335133845,0.8623019332620484,0.8975717337647205
47,0.8799368335133845,0.8623019332620484,0.8975717337647205
48,0.8799368335133845,0.8623019332620484,0.8975717337647205
49,0.8799368335133845,0.8623019332620484,0.8975717337647205
