task_number,average_return,average_return_lo,average_return_up
0,0.6396658698873552,0.5421391881300643,0.737192551644646
1,0.6360655021692849,0.533451436210143,0.7386795681284268
2,0.6232641809158845,0.5227153041848656,0.7238130576469035
3,0.7372147421212061,0.6248152677607882,0.8496142164816239
4,0.6502683004155158,0.5511251186749511,0.7494114821560804
5,0.6751058172122544,0.578200393574444,0.7720112408500648
6,0.6582281717819481,0.5578713879435887,0.7585849556203076
7,0.6396658698873552,0.5421391881300643,0.737192551644646
8,0.6559097042367076,0.5559064056429011,0.7559130028305141
9,0.703115505526593,0.5959149726012013,0.8103160384519846
10,0.652804068015845,0.5532742703693679,0.7523338656623221
11,0.7561176842268782,0.6475837290424735,0.8646516394112829
12,0.7183118000155342,0.6024292467648993,0.8341943532661691
13,0.703115505526593,0.5959149726012013,0.8103160384519846
14,0.7313358208369946,0.6263590812906473,0.8363125603833418
15,0.6862811997089652,0.5939735574867808,0.7785888419311495
16,0.6232641809158845,0.5227153041848656,0.7238130576469035
17,0.652804068015845,0.5532742703693679,0.7523338656623221
18,0.6756920631740375,0.5726726464546396,0.7787114798934355
19,0.6756920631740375,0.5726726464546396,0.7787114798934355
20,0.7372147421212061,0.6248152677607882,0.8496142164816239
21,0.7313358208369946,0.6263590812906473,0.8363125603833418
22,0.652804068015845,0.5532742703693679,0.7523338656623221
23,0.6582281717819481,0.5578713879435887,0.7585849556203076
24,0.6930175006913205,0.5935410145158286,0.7924939868668124
25,0.6582281717819481,0.5578713879435887,0.7585849556203076
26,0.6559097042367076,0.5559064056429011,0.7559130028305141
27,0.6756920631740375,0.5726726464546396,0.7787114798934355
28,0.6930175006913205,0.5935410145158286,0.7924939868668124
29,0.7130524253160696,0.6043368595280888,0.8217679911040504
30,0.703115505526593,0.5959149726012013,0.8103160384519846
31,0.6396658698873552,0.5421391881300643,0.737192551644646
32,0.6947690297951448,0.5826845435171988,0.8068535160730907
33,0.6396658698873552,0.5421391881300643,0.737192551644646
34,0.6413505263516417,0.5378838472289271,0.7448172054743563
35,0.6583666256567545,0.5521548029434707,0.7645784483700383
36,0.6559097042367076,0.5559064056429011,0.7559130028305141
37,0.7130524253160696,0.6043368595280888,0.8217679911040504
38,0.6502683004155158,0.5511251186749511,0.7494114821560804
39,0.656067558858826,0.5618949075420768,0.7502402101755751
40,0.7561176842268782,0.6475837290424735,0.8646516394112829
41,0.669542633862405,0.5734357556163646,0.7656495121084453
42,0.6396658698873552,0.5421391881300643,0.737192551644646
43,0.7130524253160696,0.6043368595280888,0.8217679911040504
44,0.7889706136688343,0.6757209132425026,0.9022203140951659
45,0.6396658698873552,0.5421391881300643,0.737192551644646
46,0.6396658698873552,0.5421391881300643,0.737192551644646
47,0.6413505263516417,0.5378838472289271,0.7448172054743563
48,0.6390915066921766,0.5359892667530819,0.7421937466312714
49,0.7692463483271134,0.6519631738793851,0.8865295227748416
