episode_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.0018859115058225278,-0.0017062790272759831,0.005478102038921039
1,1.6499529536549238e-11,-7.830880416147236e-12,4.082993948924571e-11
2,0.003577908080858954,-0.0015524354101502315,0.00870825157186814
3,8.021857429639083e-07,-6.778941062453951e-07,2.2822655921732117e-06
4,0.004004972566153682,-0.004340919993820932,0.012350865126128296
5,1.3977739153962207e-06,-1.3780327422815162e-06,4.173580573073958e-06
6,0.0075052033585012844,-0.008202328826618864,0.02321273554362143
7,0.0002936939537729553,-0.00024659673048055936,0.0008339846380264699
8,1.9858766195539887e-07,-6.807147176132241e-08,4.6524679567212015e-07
9,0.00163052761364798,-0.0012940386045253397,0.0045550938318213
10,0.0032471904264468553,-0.0035126649601635277,0.010007045813057239
11,0.00936112919024148,-0.004135183499413379,0.02285744187989634
12,0.0006654792768505662,-0.0007266369572929709,0.0020575955109941035
13,0.009266122214331858,-0.010125844511550462,0.028658088940214176
14,0.012499742947098564,-0.005688579511208873,0.030688065405406
15,0.0007405197803432632,-0.0008061579174095916,0.002287197478096118
16,9.868290007820365e-06,-1.0705043167754409e-05,3.044162318339514e-05
17,0.0002025364507477094,-0.00019004275434292983,0.0005951156558383487
18,0.02140392385910602,-0.015291938155450678,0.05809978587366272
19,1.819048407251746e-20,-1.9777366186842695e-20,5.615833433187761e-20
20,0.010177501125829248,-0.009208097340447047,0.029563099592105544
21,0.0002096448443097754,-0.00022713043767094937,0.0006464201262905002
22,0.007506072742719118,-0.008201363887028471,0.023213509372466707
23,1.0116884686005144e-10,-1.1057998212208139e-10,3.129176758421843e-10
24,0.0019085590722907567,-0.002083992800535968,0.005901110945117481
25,0.002364895744696773,-0.002563270409015522,0.007293061898409068
26,8.848234213947372e-06,-9.671295507380011e-06,2.7367763935274757e-05
27,8.985059714801935e-05,-9.820868298924633e-05,0.000277909877285285
28,0.00033868918789208235,-0.00032629844997371073,0.0010036768257578755
29,0.01055562772671883,-0.008836836039996939,0.029948091493434602
30,0.001894542757873028,-0.0011346412930637961,0.004923726808809852
31,0.0037457071279819966,-0.0018452418425955984,0.009336656098559592
32,0.006758794484722756,-0.007377534299546125,0.020895123268991636
33,2.6987077742618425e-05,-1.1864427481927474e-05,6.583858296716432e-05
34,0.0015496614364486445,-0.0016839031547276413,0.00478322602762493
35,0.012124812311868965,-0.011780757047323205,0.03603038167106114
36,0.002129389270488633,-0.002305861015636506,0.006564639556613772
37,0.0009176592782029239,-0.0009914681230166194,0.0028267866794224675
38,0.0611893769148897,0.0013967191437050039,0.12098203468607441
39,0.03695650117130929,-0.0032454433126490254,0.07715844565526761
40,0.029199523908794118,0.005227460466130318,0.05317158735145792
41,0.06453791419625962,0.004725628255612305,0.12435020013690694
42,0.04881774450152228,0.0016251667704960462,0.09601032223254852
43,0.0614884237338791,0.01722879918110514,0.10574804828665305
44,0.05532401659673734,0.013374591216620269,0.0972734419768544
45,0.10282128838286653,0.04967755472993347,0.1559650220357996
46,0.10068729219793782,0.042255952108836925,0.1591186322870387
47,0.13019593237957086,0.06494487357957966,0.19544699117956205
48,0.1747248725869785,0.10175926265487714,0.24769048251907985
49,0.17217695558982327,0.0995476541798194,0.24480625699982714
50,0.13009060977529324,0.06358943819921882,0.19659178135136768
51,0.1921612674388874,0.13101007235823753,0.25331246251953726
52,0.20529975503834463,0.13571388030671389,0.2748856297699754
53,0.12412332025219411,0.06442774318084102,0.1838188973235472
54,0.21008064046031624,0.14554350132217098,0.2746177795984615
55,0.18618890142100747,0.11568298358968178,0.2566948192523332
56,0.19284118058498606,0.12819798181854125,0.25748437935143087
57,0.2409429658383521,0.1647877562842084,0.3170981753924958
58,0.25696423674985824,0.18468095794928108,0.3292475155504354
59,0.19928605499730953,0.12744809848693978,0.2711240115076793
60,0.24631576795496074,0.1780384183211176,0.31459311758880387
61,0.21061976536440152,0.13298718217974353,0.2882523485490595
62,0.2138001095511098,0.1645704256478441,0.2630297934543755
63,0.22380306561120253,0.1787223209691385,0.2688838102532665
64,0.22337272827835405,0.1495985388148243,0.29714691774188384
65,0.2518839771402485,0.18986107268985278,0.3139068815906442
66,0.25273759737152474,0.1937405143728319,0.31173468037021757
67,0.22482945017894657,0.1620365063798918,0.2876223939780013
68,0.23270698918674954,0.16540091353290254,0.30001306484059653
69,0.2606544192098646,0.18722105992212817,0.334087778497601
70,0.2933175392779236,0.22314371582155085,0.36349136273429633
71,0.2814740935537062,0.2200921523856102,0.34285603472180215
72,0.323238823257914,0.27774546237272996,0.368732184143098
73,0.26379814364825094,0.1916373758958452,0.3359589114006567
74,0.29864138639970716,0.22481587513424517,0.37246689766516916
75,0.3152461594865105,0.2521207256955685,0.37837159327745257
76,0.3477765767186798,0.29860449060736016,0.3969486628299994
77,0.33229097661720675,0.2809179798815975,0.383663973352816
78,0.3444335824369084,0.29606912277331543,0.3927980421005014
79,0.33730368163585095,0.2828961272088793,0.3917112360628226
80,0.3152477233801626,0.2507254633713339,0.3797699833889913
81,0.3425585165364281,0.28800786552393637,0.39710916754891984
82,0.26914795926474755,0.2209413917631674,0.3173545267663277
83,0.34714781306668385,0.2999652887271754,0.3943303374061923
84,0.3041707992368116,0.25111533451098594,0.3572262639626373
85,0.36211386707688653,0.31526128188149216,0.4089664522722809
86,0.34279122064271234,0.2949866545949764,0.39059578669044825
87,0.3254157960847025,0.2686456062529469,0.3821859859164581
88,0.34911790792571107,0.3019340945957992,0.39630172125562296
89,0.2900208747308902,0.21891082756334035,0.3611309218984401
90,0.309929491163551,0.25183373885192367,0.36802524347517834
91,0.2885743798826367,0.22859119070619233,0.34855756905908103
92,0.3488829859003635,0.30494655276934357,0.3928194190313834
93,0.32070489444555406,0.2621656128081061,0.37924417608300204
94,0.27569062747767814,0.2159154592448336,0.3354657957105227
95,0.39248589789958055,0.3527097153481099,0.4322620804510512
96,0.3134992880490764,0.24123867208523947,0.3857599040129133
97,0.36964521748982554,0.3144161345863075,0.42487430039334356
98,0.31263354285818196,0.24919391236427388,0.37607317335209
99,0.2956588666893875,0.24592394943928514,0.3453937839394899
